+3.6754976624e-03   +1.5927471590e-03   -1.5160604016e-03   -8.7407778549e+00   -1.1936275761e-02   
+3.7490076156e-03   +1.5675328807e-03   -1.4920192369e-03   -8.8818181617e+00   -1.2032191656e-02   
+3.8225175689e-03   +1.5419318372e-03   -1.4676099388e-03   -9.0206670128e+00   -1.2125876146e-02   
+3.8960275221e-03   +1.5159503450e-03   -1.4428385299e-03   -9.1572901492e+00   -1.2217357711e-02   
+3.9695374754e-03   +1.4895948147e-03   -1.4177111221e-03   -9.2916538613e+00   -1.2306663152e-02   
+4.0430474286e-03   +1.4628717493e-03   -1.3922339154e-03   -9.4237249969e+00   -1.2393817711e-02   
+4.1165573819e-03   +1.4357877421e-03   -1.3664131958e-03   -9.5534709694e+00   -1.2478845171e-02   
+4.1900673351e-03   +1.4083494757e-03   -1.3402553341e-03   -9.6808597658e+00   -1.2561767956e-02   
+4.2635772884e-03   +1.3805637202e-03   -1.3137667845e-03   -9.8058599549e+00   -1.2642607218e-02   
+4.3370872416e-03   +1.3524373313e-03   -1.2869540826e-03   -9.9284406949e+00   -1.2721382917e-02   
+4.4105971949e-03   +1.3239772487e-03   -1.2598238441e-03   -1.0048571741e+01   -1.2798113899e-02   
+4.4841071481e-03   +1.2951904945e-03   -1.2323827628e-03   -1.0166223452e+01   -1.2872817961e-02   
+4.5576171014e-03   +1.2660841715e-03   -1.2046376096e-03   -1.0281366799e+01   -1.2945511918e-02   
+4.6311270546e-03   +1.2366654611e-03   -1.1765952301e-03   -1.0393973373e+01   -1.3016211660e-02   
+4.7046370079e-03   +1.2069416220e-03   -1.1482625432e-03   -1.0504015390e+01   -1.3084932207e-02   
+4.7781469611e-03   +1.1769199882e-03   -1.1196465398e-03   -1.0611465698e+01   -1.3151687758e-02   
+4.8516569143e-03   +1.1466079669e-03   -1.0907542804e-03   -1.0716297786e+01   -1.3216491740e-02   
+4.9251668676e-03   +1.1160130373e-03   -1.0615928937e-03   -1.0818485787e+01   -1.3279356849e-02   
+4.9986768208e-03   +1.0851427481e-03   -1.0321695747e-03   -1.0918004489e+01   -1.3340295093e-02   
+5.0721867741e-03   +1.0540047163e-03   -1.0024915834e-03   -1.1014829337e+01   -1.3399317826e-02   
+5.1456967273e-03   +1.0226066245e-03   -9.7256624235e-04   -1.1108936441e+01   -1.3456435783e-02   
+5.2192066806e-03   +9.9095621987e-04   -9.4240093509e-04   -1.1200302580e+01   -1.3511659116e-02   
+5.2927166338e-03   +9.5906131160e-04   -9.1200310449e-04   -1.1288905213e+01   -1.3564997419e-02   
+5.3662265871e-03   +9.2692976931e-04   -8.8138025078e-04   -1.1374722477e+01   -1.3616459759e-02   
+5.4397365403e-03   +8.9456952096e-04   -8.5053992968e-04   -1.1457733199e+01   -1.3666054703e-02   
+5.5132464936e-03   +8.6198855098e-04   -8.1948975058e-04   -1.1537916896e+01   -1.3713790337e-02   
+5.5867564468e-03   +8.2919489821e-04   -7.8823737464e-04   -1.1615253785e+01   -1.3759674295e-02   
+5.6602664001e-03   +7.9619665401e-04   -7.5679051293e-04   -1.1689724784e+01   -1.3803713775e-02   
+5.7337763533e-03   +7.6300196021e-04   -7.2515692448e-04   -1.1761311519e+01   -1.3845915562e-02   
+5.8072863066e-03   +7.2961900708e-04   -6.9334441441e-04   -1.1829996325e+01   -1.3886286044e-02   
+5.8807962598e-03   +6.9605603138e-04   -6.6136083198e-04   -1.1895762257e+01   -1.3924831230e-02   
+5.9543062131e-03   +6.6232131428e-04   -6.2921406866e-04   -1.1958593088e+01   -1.3961556766e-02   
+6.0278161663e-03   +6.2842317929e-04   -5.9691205619e-04   -1.2018473315e+01   -1.3996467949e-02   
+6.1013261196e-03   +5.9436999030e-04   -5.6446276460e-04   -1.2075388163e+01   -1.4029569739e-02   
+6.1748360728e-03   +5.6017014940e-04   -5.3187420026e-04   -1.2129323590e+01   -1.4060866777e-02   
+6.2483460261e-03   +5.2583209490e-04   -4.9915440393e-04   -1.2180266288e+01   -1.4090363391e-02   
+6.3218559793e-03   +4.9136429919e-04   -4.6631144872e-04   -1.2228203688e+01   -1.4118063611e-02   
+6.3953659325e-03   +4.5677526670e-04   -4.3335343813e-04   -1.2273123961e+01   -1.4143971174e-02   
+6.4688758858e-03   +4.2207353175e-04   -4.0028850407e-04   -1.2315016025e+01   -1.4168089540e-02   
+6.5423858390e-03   +3.8726765647e-04   -3.6712480481e-04   -1.2353869542e+01   -1.4190421894e-02   
+6.6158957923e-03   +3.5236622869e-04   -3.3387052299e-04   -1.2389674927e+01   -1.4210971160e-02   
+6.6894057455e-03   +3.1737785981e-04   -3.0053386362e-04   -1.2422423346e+01   -1.4229740002e-02   
+6.7629156988e-03   +2.8231118270e-04   -2.6712305202e-04   -1.2452106717e+01   -1.4246730835e-02   
+6.8364256520e-03   +2.4717484952e-04   -2.3364633180e-04   -1.2478717717e+01   -1.4261945827e-02   
+6.9099356053e-03   +2.1197752965e-04   -2.0011196285e-04   -1.2502249780e+01   -1.4275386910e-02   
+6.9834455585e-03   +1.7672790750e-04   -1.6652821926e-04   -1.2522697100e+01   -1.4287055776e-02   
+7.0569555118e-03   +1.4143468038e-04   -1.3290338733e-04   -1.2540054633e+01   -1.4296953889e-02   
+7.1304654650e-03   +1.0610655637e-04   -9.9245763470e-05   -1.2554318094e+01   -1.4305082486e-02   
+7.2039754183e-03   +7.0752252157e-05   -6.5563652207e-05   -1.2565483965e+01   -1.4311442577e-02   
+7.2774853715e-03   +3.5380490882e-05   -3.1865364094e-05   -1.2573549491e+01   -1.4316034950e-02   
+7.3509953248e-03   -8.6237921482e-19   +1.8407863214e-06   -1.2578512682e+01   -1.4318860175e-02   
+7.4245052780e-03   -3.5380490882e-05   +3.5546482550e-05   -1.2580372313e+01   -1.4319918600e-02   
+7.4980152313e-03   -7.0752252157e-05   +6.9243408216e-05   -1.2579127925e+01   -1.4319210355e-02   
+7.5715251845e-03   -1.0610655637e-04   +1.0292324911e-04   -1.2574779826e+01   -1.4316735353e-02   
+7.6450351378e-03   -1.4143468038e-04   +1.3657769523e-04   -1.2567329088e+01   -1.4312493288e-02   
+7.7185450910e-03   -1.7672790750e-04   +1.7019844284e-04   -1.2556777549e+01   -1.4306483637e-02   
+7.7920550443e-03   -2.1197752965e-04   +2.0377719654e-04   -1.2543127814e+01   -1.4298705654e-02   
+7.8655649975e-03   -2.4717484952e-04   +2.3730567126e-04   -1.2526383250e+01   -1.4289158372e-02   
+7.9390749507e-03   -2.8231118270e-04   +2.7077559436e-04   -1.2506547988e+01   -1.4277840600e-02   
+8.0125849040e-03   -3.1737785981e-04   +3.0417870764e-04   -1.2483626922e+01   -1.4264750921e-02   
+8.0860948572e-03   -3.5236622869e-04   +3.3750676937e-04   -1.2457625708e+01   -1.4249887685e-02   
+8.1596048105e-03   -3.8726765647e-04   +3.7075155635e-04   -1.2428550762e+01   -1.4233249011e-02   
+8.2331147637e-03   -4.2207353175e-04   +4.0390486594e-04   -1.2396409256e+01   -1.4214832777e-02   
+8.3066247170e-03   -4.5677526670e-04   +4.3695851804e-04   -1.2361209122e+01   -1.4194636617e-02   
+8.3801346702e-03   -4.9136429919e-04   +4.6990435717e-04   -1.2322959045e+01   -1.4172657917e-02   
+8.4536446235e-03   -5.2583209490e-04   +5.0273425443e-04   -1.2281668462e+01   -1.4148893806e-02   
+8.5271545767e-03   -5.6017014940e-04   +5.3544010953e-04   -1.2237347561e+01   -1.4123341150e-02   
+8.6006645300e-03   -5.9436999030e-04   +5.6801385280e-04   -1.2190007277e+01   -1.4095996546e-02   
+8.6741744832e-03   -6.2842317929e-04   +6.0044744715e-04   -1.2139659292e+01   -1.4066856310e-02   
+8.7476844365e-03   -6.6232131428e-04   +6.3273289008e-04   -1.2086316027e+01   -1.4035916473e-02   
+8.8211943897e-03   -6.9605603138e-04   +6.6486221563e-04   -1.2029990645e+01   -1.4003172766e-02   
+8.8947043430e-03   -7.2961900708e-04   +6.9682749638e-04   -1.1970697043e+01   -1.3968620612e-02   
+8.9682142962e-03   -7.6300196021e-04   +7.2862084538e-04   -1.1908449850e+01   -1.3932255114e-02   
+9.0417242495e-03   -7.9619665401e-04   +7.6023441808e-04   -1.1843264425e+01   -1.3894071042e-02   
+9.1152342027e-03   -8.2919489821e-04   +7.9166041431e-04   -1.1775156852e+01   -1.3854062823e-02   
+9.1887441560e-03   -8.6198855098e-04   +8.2289108019e-04   -1.1704143936e+01   -1.3812224519e-02   
+9.2622541092e-03   -8.9456952096e-04   +8.5391871000e-04   -1.1630243197e+01   -1.3768549819e-02   
+9.3357640625e-03   -9.2692976931e-04   +8.8473564815e-04   -1.1553472869e+01   -1.3723032018e-02   
+9.4092740157e-03   -9.5906131160e-04   +9.1533429102e-04   -1.1473851895e+01   -1.3675664002e-02   
+9.4827839689e-03   -9.9095621987e-04   +9.4570708884e-04   -1.1391399920e+01   -1.3626438225e-02   
+9.5562939222e-03   -1.0226066245e-03   +9.7584654760e-04   -1.1306137287e+01   -1.3575346691e-02   
+9.6298038754e-03   -1.0540047163e-03   +1.0057452308e-03   -1.1218085034e+01   -1.3522380932e-02   
