+0.0000000000e+00   -4.0231364771e-18   -9.9430001112e-01   -1.1166039770e+00   +0.0000000000e+00   +0.0000000000e+00   
+2.6675653597e+00   -1.0278183114e-02   -9.6411705608e-01   -1.1027624527e+00   +0.0000000000e+00   +0.0000000000e+00   
+5.3351307194e+00   -2.0303283248e-02   -9.1019433940e-01   -1.0617672569e+00   +0.0000000000e+00   +0.0000000000e+00   
+8.0026960791e+00   -2.9828449166e-02   -8.3385961732e-01   -9.9462782738e-01   +0.0000000000e+00   +0.0000000000e+00   
+1.0670261439e+01   -3.8619139671e-02   -7.3699250403e-01   -9.0299735982e-01   +0.0000000000e+00   +0.0000000000e+00   
+1.3337826799e+01   -4.6458898787e-02   -6.2197818937e-01   -7.8913210038e-01   +0.0000000000e+00   +0.0000000000e+00   
+1.6005392158e+01   -5.3154685627e-02   -4.9164870745e-01   -6.5583578965e-01   +0.0000000000e+00   +0.0000000000e+00   
+1.8672957518e+01   -5.8541627697e-02   -3.4921320266e-01   -5.0639062518e-01   +0.0000000000e+00   +0.0000000000e+00   
+2.1340522878e+01   -6.2487080604e-02   -1.9817890986e-01   -3.4447644291e-01   +0.0000000000e+00   +0.0000000000e+00   
+2.4008088237e+01   -6.4893894204e-02   -4.2264794572e-02   -1.7408010736e-01   +0.0000000000e+00   +0.0000000000e+00   
+2.6675653597e+01   -6.5702804758e-02   +1.1469002022e-01   +6.0265817525e-04   +0.0000000000e+00   +0.0000000000e+00   
+2.9343218957e+01   -6.4893894204e-02   +2.6882078609e-01   +1.7527058426e-01   +0.0000000000e+00   +0.0000000000e+00   
+3.2010784316e+01   -6.2487080604e-02   +4.1633229203e-01   +3.4562276687e-01   +0.0000000000e+00   +0.0000000000e+00   
+3.4678349676e+01   -5.8541627697e-02   +5.5359231522e-01   +5.0746456991e-01   +0.0000000000e+00   +0.0000000000e+00   
+3.7345915036e+01   -5.3154685627e-02   +6.7722105834e-01   +6.5681091106e-01   +0.0000000000e+00   +0.0000000000e+00   
+4.0013480396e+01   -4.6458898787e-02   +7.8417437143e-01   +7.8998438774e-01   +0.0000000000e+00   +0.0000000000e+00   
+4.2681045755e+01   -3.8619139671e-02   +8.7181870898e-01   +9.0370582699e-01   +0.0000000000e+00   +0.0000000000e+00   
+4.5348611115e+01   -2.9828449166e-02   +9.3799597651e-01   +9.9517502956e-01   +0.0000000000e+00   +0.0000000000e+00   
+4.8016176475e+01   -2.0303283248e-02   +9.8107667007e-01   +1.0621397201e+00   +0.0000000000e+00   +0.0000000000e+00   
+5.0683741834e+01   -1.0278183114e-02   +1.0000000000e+00   +1.1029510057e+00   +0.0000000000e+00   +0.0000000000e+00   
+5.3351307194e+01   -4.0231364771e-18   +9.9430001112e-01   +1.1166039770e+00   +0.0000000000e+00   +0.0000000000e+00   
+5.6018872554e+01   +1.0278183114e-02   +9.6411705608e-01   +1.1027624527e+00   +0.0000000000e+00   +0.0000000000e+00   
+5.8686437914e+01   +2.0303283248e-02   +9.1019433940e-01   +1.0617672569e+00   +0.0000000000e+00   +0.0000000000e+00   
+6.1354003273e+01   +2.9828449166e-02   +8.3385961732e-01   +9.9462782738e-01   +0.0000000000e+00   +0.0000000000e+00   
+6.4021568633e+01   +3.8619139671e-02   +7.3699250403e-01   +9.0299735982e-01   +0.0000000000e+00   +0.0000000000e+00   
+6.6689133993e+01   +4.6458898787e-02   +6.2197818937e-01   +7.8913210038e-01   +0.0000000000e+00   +0.0000000000e+00   
+6.9356699352e+01   +5.3154685627e-02   +4.9164870745e-01   +6.5583578965e-01   +0.0000000000e+00   +0.0000000000e+00   
+7.2024264712e+01   +5.8541627697e-02   +3.4921320266e-01   +5.0639062518e-01   +0.0000000000e+00   +0.0000000000e+00   
+7.4691830072e+01   +6.2487080604e-02   +1.9817890986e-01   +3.4447644291e-01   +0.0000000000e+00   +0.0000000000e+00   
+7.7359395431e+01   +6.4893894204e-02   +4.2264794572e-02   +1.7408010736e-01   +0.0000000000e+00   +0.0000000000e+00   
+8.0026960791e+01   +6.5702804758e-02   -1.1469002022e-01   -6.0265817525e-04   +0.0000000000e+00   +0.0000000000e+00   
+8.2694526151e+01   +6.4893894204e-02   -2.6882078609e-01   -1.7527058426e-01   +0.0000000000e+00   +0.0000000000e+00   
+8.5362091511e+01   +6.2487080604e-02   -4.1633229203e-01   -3.4562276687e-01   +0.0000000000e+00   +0.0000000000e+00   
+8.8029656870e+01   +5.8541627697e-02   -5.5359231522e-01   -5.0746456991e-01   +0.0000000000e+00   +0.0000000000e+00   
+9.0697222230e+01   +5.3154685627e-02   -6.7722105834e-01   -6.5681091106e-01   +0.0000000000e+00   +0.0000000000e+00   
+9.3364787590e+01   +4.6458898787e-02   -7.8417437143e-01   -7.8998438774e-01   +0.0000000000e+00   +0.0000000000e+00   
+9.6032352949e+01   +3.8619139671e-02   -8.7181870898e-01   -9.0370582699e-01   +0.0000000000e+00   +0.0000000000e+00   
+9.8699918309e+01   +2.9828449166e-02   -9.3799597651e-01   -9.9517502956e-01   +0.0000000000e+00   +0.0000000000e+00   
+1.0136748367e+02   +2.0303283248e-02   -9.8107667007e-01   -1.0621397201e+00   +0.0000000000e+00   +0.0000000000e+00   
+1.0403504903e+02   +1.0278183114e-02   -1.0000000000e+00   -1.1029510057e+00   +0.0000000000e+00   +0.0000000000e+00   
