# t = +1.0038225047e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -2.8953058097e-01   
-4.9609375000e-01   -5.7943873898e-01   
-4.9414062500e-01   -8.6901758564e-01   
-4.9218750000e-01   -1.1576076763e+00   
-4.9023437500e-01   -1.4445954222e+00   
-4.8828125000e-01   -1.7294115006e+00   
-4.8632812500e-01   -2.0115292648e+00   
-4.8437500000e-01   -2.2904631604e+00   
-4.8242187500e-01   -2.5657671484e+00   
-4.8046875000e-01   -2.8370331410e+00   
-4.7851562500e-01   -3.1038894508e+00   
-4.7656250000e-01   -3.3659992576e+00   
-4.7460937500e-01   -3.6230590946e+00   
-4.7265625000e-01   -3.8747973562e+00   
-4.7070312500e-01   -4.1209728304e+00   
-4.6875000000e-01   -4.3613732557e+00   
-4.6679687500e-01   -4.5958139071e+00   
-4.6484375000e-01   -4.8241362097e+00   
-4.6289062500e-01   -5.0462063833e+00   
-4.6093750000e-01   -5.2619141182e+00   
-4.5898437500e-01   -5.4711712841e+00   
-4.5703125000e-01   -5.6739106716e+00   
-4.5507812500e-01   -5.8700847681e+00   
-4.5312500000e-01   -6.0596645694e+00   
-4.5117187500e-01   -6.2426384248e+00   
-4.4921875000e-01   -6.4190109197e+00   
-4.4726562500e-01   -6.5888017924e+00   
-4.4531250000e-01   -6.7520448888e+00   
-4.4335937500e-01   -6.9087871513e+00   
-4.4140625000e-01   -7.0590876454e+00   
-4.3945312500e-01   -7.2030166212e+00   
-4.3750000000e-01   -7.3406546118e+00   
-4.3554687500e-01   -7.4720915661e+00   
-4.3359375000e-01   -7.5974260177e+00   
-4.3164062500e-01   -7.7167642884e+00   
-4.2968750000e-01   -7.8302197260e+00   
-4.2773437500e-01   -7.9379119763e+00   
-4.2578125000e-01   -8.0399662881e+00   
-4.2382812500e-01   -8.1365128516e+00   
-4.2187500000e-01   -8.2276861681e+00   
-4.1992187500e-01   -8.3136244524e+00   
-4.1796875000e-01   -8.3944690649e+00   
-4.1601562500e-01   -8.4703639745e+00   
-4.1406250000e-01   -8.5414552508e+00   
-4.1210937500e-01   -8.6078905849e+00   
-4.1015625000e-01   -8.6698188377e+00   
-4.0820312500e-01   -8.7273896159e+00   
-4.0625000000e-01   -8.7807528743e+00   
-4.0429687500e-01   -8.8300585423e+00   
-4.0234375000e-01   -8.8754561770e+00   
-4.0039062500e-01   -8.9170946386e+00   
-3.9843750000e-01   -8.9551217895e+00   
-3.9648437500e-01   -8.9896842153e+00   
-3.9453125000e-01   -9.0209269677e+00   
-3.9257812500e-01   -9.0489933271e+00   
-3.9062500000e-01   -9.0740245859e+00   
-3.8867187500e-01   -9.0961598502e+00   
-3.8671875000e-01   -9.1155358595e+00   
-3.8476562500e-01   -9.1322868244e+00   
-3.8281250000e-01   -9.1465442807e+00   
-3.8085937500e-01   -9.1584369587e+00   
-3.7890625000e-01   -9.1680906689e+00   
-3.7695312500e-01   -9.1756282005e+00   
-3.7500000000e-01   -9.1811692353e+00   
-3.7304687500e-01   -9.1848302730e+00   
-3.7109375000e-01   -9.1867245698e+00   
-3.6914062500e-01   -9.1869620882e+00   
-3.6718750000e-01   -9.1856494577e+00   
-3.6523437500e-01   -9.1828899462e+00   
-3.6328125000e-01   -9.1787834408e+00   
-3.6132812500e-01   -9.1734264377e+00   
-3.5937500000e-01   -9.1669120407e+00   
-3.5742187500e-01   -9.1593299680e+00   
-3.5546875000e-01   -9.1507665658e+00   
-3.5351562500e-01   -9.1413048294e+00   
-3.5156250000e-01   -9.1310244303e+00   
-3.4960937500e-01   -9.1200017495e+00   
-3.4765625000e-01   -9.1083099160e+00   
-3.4570312500e-01   -9.0960188507e+00   
-3.4375000000e-01   -9.0831953142e+00   
-3.4179687500e-01   -9.0699029596e+00   
-3.3984375000e-01   -9.0562023882e+00   
-3.3789062500e-01   -9.0421512094e+00   
-3.3593750000e-01   -9.0278041029e+00   
-3.3398437500e-01   -9.0132128841e+00   
-3.3203125000e-01   -8.9984265717e+00   
-3.3007812500e-01   -8.9834914568e+00   
-3.2812500000e-01   -8.9684511750e+00   
-3.2617187500e-01   -8.9533467786e+00   
-3.2421875000e-01   -8.9382168107e+00   
-3.2226562500e-01   -8.9230973801e+00   
-3.2031250000e-01   -8.9080222374e+00   
-3.1835937500e-01   -8.8930228502e+00   
-3.1640625000e-01   -8.8781284803e+00   
-3.1445312500e-01   -8.8633662600e+00   
-3.1250000000e-01   -8.8487612682e+00   
-3.1054687500e-01   -8.8343366066e+00   
-3.0859375000e-01   -8.8201134757e+00   
-3.0664062500e-01   -8.8061112495e+00   
-3.0468750000e-01   -8.7923475501e+00   
-3.0273437500e-01   -8.7788383212e+00   
-3.0078125000e-01   -8.7655979008e+00   
-2.9882812500e-01   -8.7526390927e+00   
-2.9687500000e-01   -8.7399732366e+00   
-2.9492187500e-01   -8.7276102777e+00   
-2.9296875000e-01   -8.7155588345e+00   
-2.9101562500e-01   -8.7038262648e+00   
-2.8906250000e-01   -8.6924187312e+00   
-2.8710937500e-01   -8.6813412643e+00   
-2.8515625000e-01   -8.6705978249e+00   
-2.8320312500e-01   -8.6601913641e+00   
-2.8125000000e-01   -8.6501238819e+00   
-2.7929687500e-01   -8.6403964850e+00   
-2.7734375000e-01   -8.6310094411e+00   
-2.7539062500e-01   -8.6219622335e+00   
-2.7343750000e-01   -8.6132536128e+00   
-2.7148437500e-01   -8.6048816469e+00   
-2.6953125000e-01   -8.5968437699e+00   
-2.6757812500e-01   -8.5891368290e+00   
-2.6562500000e-01   -8.5817571290e+00   
-2.6367187500e-01   -8.5747004766e+00   
-2.6171875000e-01   -8.5679622213e+00   
-2.5976562500e-01   -8.5615372962e+00   
-2.5781250000e-01   -8.5554202559e+00   
-2.5585937500e-01   -8.5496053132e+00   
-2.5390625000e-01   -8.5440863746e+00   
-2.5195312500e-01   -8.5388570737e+00   
-2.5000000000e-01   -8.5339108031e+00   
-2.4804687500e-01   -8.5292407450e+00   
-2.4609375000e-01   -8.5248399000e+00   
-2.4414062500e-01   -8.5207011147e+00   
-2.4218750000e-01   -8.5168171078e+00   
-2.4023437500e-01   -8.5131804944e+00   
-2.3828125000e-01   -8.5097838099e+00   
-2.3632812500e-01   -8.5066195313e+00   
-2.3437500000e-01   -8.5036800982e+00   
-2.3242187500e-01   -8.5009579324e+00   
-2.3046875000e-01   -8.4984454554e+00   
-2.2851562500e-01   -8.4961351061e+00   
-2.2656250000e-01   -8.4940193563e+00   
-2.2460937500e-01   -8.4920907256e+00   
-2.2265625000e-01   -8.4903417949e+00   
-2.2070312500e-01   -8.4887652194e+00   
-2.1875000000e-01   -8.4873537398e+00   
-2.1679687500e-01   -8.4861001936e+00   
-2.1484375000e-01   -8.4849975243e+00   
-2.1289062500e-01   -8.4840387909e+00   
-2.1093750000e-01   -8.4832171757e+00   
-2.0898437500e-01   -8.4825259916e+00   
-2.0703125000e-01   -8.4819586887e+00   
-2.0507812500e-01   -8.4815088601e+00   
-2.0312500000e-01   -8.4811702471e+00   
-2.0117187500e-01   -8.4809367433e+00   
-1.9921875000e-01   -8.4808023990e+00   
-1.9726562500e-01   -8.4807614237e+00   
-1.9531250000e-01   -8.4808081895e+00   
-1.9335937500e-01   -8.4809372325e+00   
-1.9140625000e-01   -8.4811432550e+00   
-1.8945312500e-01   -8.4814211262e+00   
-1.8750000000e-01   -8.4817658833e+00   
-1.8554687500e-01   -8.4821727315e+00   
-1.8359375000e-01   -8.4826370437e+00   
-1.8164062500e-01   -8.4831543605e+00   
-1.7968750000e-01   -8.4837203891e+00   
-1.7773437500e-01   -8.4843310020e+00   
-1.7578125000e-01   -8.4849822358e+00   
-1.7382812500e-01   -8.4856702895e+00   
-1.7187500000e-01   -8.4863915223e+00   
-1.6992187500e-01   -8.4871424517e+00   
-1.6796875000e-01   -8.4879197506e+00   
-1.6601562500e-01   -8.4887202454e+00   
-1.6406250000e-01   -8.4895409127e+00   
-1.6210937500e-01   -8.4903788765e+00   
-1.6015625000e-01   -8.4912314053e+00   
-1.5820312500e-01   -8.4920959085e+00   
-1.5625000000e-01   -8.4929699336e+00   
-1.5429687500e-01   -8.4938511626e+00   
-1.5234375000e-01   -8.4947374084e+00   
-1.5039062500e-01   -8.4956266113e+00   
-1.4843750000e-01   -8.4965168356e+00   
-1.4648437500e-01   -8.4974062657e+00   
-1.4453125000e-01   -8.4982932028e+00   
-1.4257812500e-01   -8.4991760606e+00   
-1.4062500000e-01   -8.5000533621e+00   
-1.3867187500e-01   -8.5009237359e+00   
-1.3671875000e-01   -8.5017859119e+00   
-1.3476562500e-01   -8.5026387184e+00   
-1.3281250000e-01   -8.5034810779e+00   
-1.3085937500e-01   -8.5043120033e+00   
-1.2890625000e-01   -8.5051305951e+00   
-1.2695312500e-01   -8.5059360367e+00   
-1.2500000000e-01   -8.5067275918e+00   
-1.2304687500e-01   -8.5075046003e+00   
