# t = +1.2715085059e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +1.9198200702e-01   
-4.9609375000e-01   +3.6472624062e-01   
-4.9414062500e-01   +5.1909218271e-01   
-4.9218750000e-01   +6.5592584108e-01   
-4.9023437500e-01   +7.7605864752e-01   
-4.8828125000e-01   +8.8030646347e-01   
-4.8632812500e-01   +9.6946868858e-01   
-4.8437500000e-01   +1.0443274672e+00   
-4.8242187500e-01   +1.1056469883e+00   
-4.8046875000e-01   +1.1541728744e+00   
-4.7851562500e-01   +1.1906316544e+00   
-4.7656250000e-01   +1.2157303172e+00   
-4.7460937500e-01   +1.2301559398e+00   
-4.7265625000e-01   +1.2345753887e+00   
-4.7070312500e-01   +1.2296350869e+00   
-4.6875000000e-01   +1.2159608460e+00   
-4.6679687500e-01   +1.1941577572e+00   
-4.6484375000e-01   +1.1648101384e+00   
-4.6289062500e-01   +1.1284815344e+00   
-4.6093750000e-01   +1.0857147646e+00   
-4.5898437500e-01   +1.0370320181e+00   
-4.5703125000e-01   +9.8293498953e-01   
-4.5507812500e-01   +9.2390505489e-01   
-4.5312500000e-01   +8.6040348335e-01   
-4.5117187500e-01   +7.9287168231e-01   
-4.4921875000e-01   +7.2173147285e-01   
-4.4726562500e-01   +6.4738539312e-01   
-4.4531250000e-01   +5.7021702683e-01   
-4.4335937500e-01   +4.9059135458e-01   
-4.4140625000e-01   +4.0885512565e-01   
-4.3945312500e-01   +3.2533724796e-01   
-4.3750000000e-01   +2.4034919412e-01   
-4.3554687500e-01   +1.5418542157e-01   
-4.3359375000e-01   +6.7123804783e-02   
-4.3164062500e-01   -2.0573922126e-02   
-4.2968750000e-01   -1.0866171428e-01   
-4.2773437500e-01   -1.9690875792e-01   
-4.2578125000e-01   -2.8509900690e-01   
-4.2382812500e-01   -3.7303071514e-01   
-4.2187500000e-01   -4.6051596661e-01   
-4.1992187500e-01   -5.4738020382e-01   
-4.1796875000e-01   -6.3346175630e-01   
-4.1601562500e-01   -7.1861137002e-01   
-4.1406250000e-01   -8.0269173879e-01   
-4.1210937500e-01   -8.8557703874e-01   
-4.1015625000e-01   -9.6715246659e-01   
-4.0820312500e-01   -1.0473137827e+00   
-4.0625000000e-01   -1.1259668596e+00   
-4.0429687500e-01   -1.2030272364e+00   
-4.0234375000e-01   -1.2784196806e+00   
-4.0039062500e-01   -1.3520777568e+00   
