# t = +3.0114675141e+00
# r                 u_z
-2.3046875000e-01   +8.3803148843e+00   
-2.2851562500e-01   +8.3785819937e+00   
-2.2656250000e-01   +8.3770360705e+00   
-2.2460937500e-01   +8.3756688638e+00   
-2.2265625000e-01   +8.3744722517e+00   
-2.2070312500e-01   +8.3734382509e+00   
-2.1875000000e-01   +8.3725590259e+00   
-2.1679687500e-01   +8.3718268969e+00   
-2.1484375000e-01   +8.3712343469e+00   
-2.1289062500e-01   +8.3707740281e+00   
-2.1093750000e-01   +8.3704387676e+00   
-2.0898437500e-01   +8.3702215721e+00   
-2.0703125000e-01   +8.3701156317e+00   
-2.0507812500e-01   +8.3701143238e+00   
-2.0312500000e-01   +8.3702112155e+00   
-2.0117187500e-01   +8.3704000660e+00   
-1.9921875000e-01   +8.3706748279e+00   
-1.9726562500e-01   +8.3710296487e+00   
-1.9531250000e-01   +8.3714588708e+00   
-1.9335937500e-01   +8.3719570320e+00   
-1.9140625000e-01   +8.3725188650e+00   
-1.8945312500e-01   +8.3731392966e+00   
-1.8750000000e-01   +8.3738134465e+00   
-1.8554687500e-01   +8.3745366261e+00   
-1.8359375000e-01   +8.3753043360e+00   
-1.8164062500e-01   +8.3761122646e+00   
-1.7968750000e-01   +8.3769562853e+00   
-1.7773437500e-01   +8.3778324536e+00   
-1.7578125000e-01   +8.3787370047e+00   
-1.7382812500e-01   +8.3796663499e+00   
-1.7187500000e-01   +8.3806170737e+00   
-1.6992187500e-01   +8.3815859299e+00   
-1.6796875000e-01   +8.3825698384e+00   
-1.6601562500e-01   +8.3835658808e+00   
-1.6406250000e-01   +8.3845712973e+00   
-1.6210937500e-01   +8.3855834820e+00   
-1.6015625000e-01   +8.3865999794e+00   
-1.5820312500e-01   +8.3876184797e+00   
-1.5625000000e-01   +8.3886368151e+00   
-1.5429687500e-01   +8.3896529551e+00   
-1.5234375000e-01   +8.3906650027e+00   
-1.5039062500e-01   +8.3916711897e+00   
-1.4843750000e-01   +8.3926698724e+00   
-1.4648437500e-01   +8.3936595277e+00   
-1.4453125000e-01   +8.3946387484e+00   
-1.4257812500e-01   +8.3956062390e+00   
-1.4062500000e-01   +8.3965608115e+00   
-1.3867187500e-01   +8.3975013813e+00   
-1.3671875000e-01   +8.3984269628e+00   
-1.3476562500e-01   +8.3993366653e+00   
-1.3281250000e-01   +8.4002296891e+00   
-1.3085937500e-01   +8.4011053214e+00   
-1.2890625000e-01   +8.4019629322e+00   
-1.2695312500e-01   +8.4028019706e+00   
-1.2500000000e-01   +8.4036219610e+00   
-1.2304687500e-01   +8.4044224992e+00   
-1.2109375000e-01   +8.4052032488e+00   
-1.1914062500e-01   +8.4059639379e+00   
-1.1718750000e-01   +8.4067043550e+00   
-1.1523437500e-01   +8.4074243462e+00   
-1.1328125000e-01   +8.4081238116e+00   
-1.1132812500e-01   +8.4088027022e+00   
-1.0937500000e-01   +8.4094610164e+00   
-1.0742187500e-01   +8.4100987975e+00   
-1.0546875000e-01   +8.4107161302e+00   
-1.0351562500e-01   +8.4113131384e+00   
-1.0156250000e-01   +8.4118899816e+00   
-9.9609375000e-02   +8.4124468529e+00   
-9.7656250000e-02   +8.4129839759e+00   
-9.5703125000e-02   +8.4135016027e+00   
-9.3750000000e-02   +8.4140000110e+00   
-9.1796875000e-02   +8.4144795022e+00   
-8.9843750000e-02   +8.4149403987e+00   
-8.7890625000e-02   +8.4153830423e+00   
-8.5937500000e-02   +8.4158077915e+00   
-8.3984375000e-02   +8.4162150201e+00   
-8.2031250000e-02   +8.4166051150e+00   
-8.0078125000e-02   +8.4169784743e+00   
-7.8125000000e-02   +8.4173355057e+00   
-7.6171875000e-02   +8.4176766249e+00   
-7.4218750000e-02   +8.4180022538e+00   
-7.2265625000e-02   +8.4183128192e+00   
-7.0312500000e-02   +8.4186087511e+00   
-6.8359375000e-02   +8.4188904816e+00   
-6.6406250000e-02   +8.4191584433e+00   
-6.4453125000e-02   +8.4194130683e+00   
-6.2500000000e-02   +8.4196547869e+00   
-6.0546875000e-02   +8.4198840264e+00   
-5.8593750000e-02   +8.4201012101e+00   
-5.6640625000e-02   +8.4203067565e+00   
-5.4687500000e-02   +8.4205010779e+00   
-5.2734375000e-02   +8.4206845799e+00   
-5.0781250000e-02   +8.4208576604e+00   
-4.8828125000e-02   +8.4210207086e+00   
-4.6875000000e-02   +8.4211741048e+00   
-4.4921875000e-02   +8.4213182190e+00   
-4.2968750000e-02   +8.4214534108e+00   
-4.1015625000e-02   +8.4215800284e+00   
-3.9062500000e-02   +8.4216984081e+00   
-3.7109375000e-02   +8.4218088741e+00   
-3.5156250000e-02   +8.4219117374e+00   
-3.3203125000e-02   +8.4220072957e+00   
-3.1250000000e-02   +8.4220958331e+00   
-2.9296875000e-02   +8.4221776193e+00   
-2.7343750000e-02   +8.4222529093e+00   
-2.5390625000e-02   +8.4223219435e+00   
-2.3437500000e-02   +8.4223849467e+00   
-2.1484375000e-02   +8.4224421282e+00   
-1.9531250000e-02   +8.4224936818e+00   
-1.7578125000e-02   +8.4225397849e+00   
-1.5625000000e-02   +8.4225805988e+00   
-1.3671875000e-02   +8.4226162681e+00   
-1.1718750000e-02   +8.4226469211e+00   
-9.7656250000e-03   +8.4226726691e+00   
-7.8125000000e-03   +8.4226936064e+00   
-5.8593750000e-03   +8.4227098106e+00   
-3.9062500000e-03   +8.4227213419e+00   
-1.9531250000e-03   +8.4227282435e+00   
+0.0000000000e+00   +8.4227305411e+00   
+1.9531250000e-03   +8.4227282435e+00   
+3.9062500000e-03   +8.4227213419e+00   
+5.8593750000e-03   +8.4227098106e+00   
+7.8125000000e-03   +8.4226936064e+00   
+9.7656250000e-03   +8.4226726691e+00   
+1.1718750000e-02   +8.4226469211e+00   
+1.3671875000e-02   +8.4226162681e+00   
+1.5625000000e-02   +8.4225805988e+00   
+1.7578125000e-02   +8.4225397849e+00   
+1.9531250000e-02   +8.4224936818e+00   
+2.1484375000e-02   +8.4224421282e+00   
+2.3437500000e-02   +8.4223849467e+00   
+2.5390625000e-02   +8.4223219435e+00   
+2.7343750000e-02   +8.4222529093e+00   
+2.9296875000e-02   +8.4221776193e+00   
+3.1250000000e-02   +8.4220958331e+00   
+3.3203125000e-02   +8.4220072957e+00   
+3.5156250000e-02   +8.4219117374e+00   
+3.7109375000e-02   +8.4218088741e+00   
+3.9062500000e-02   +8.4216984081e+00   
+4.1015625000e-02   +8.4215800284e+00   
+4.2968750000e-02   +8.4214534108e+00   
+4.4921875000e-02   +8.4213182190e+00   
+4.6875000000e-02   +8.4211741048e+00   
+4.8828125000e-02   +8.4210207086e+00   
+5.0781250000e-02   +8.4208576604e+00   
+5.2734375000e-02   +8.4206845799e+00   
+5.4687500000e-02   +8.4205010779e+00   
+5.6640625000e-02   +8.4203067565e+00   
+5.8593750000e-02   +8.4201012101e+00   
+6.0546875000e-02   +8.4198840264e+00   
+6.2500000000e-02   +8.4196547869e+00   
+6.4453125000e-02   +8.4194130683e+00   
+6.6406250000e-02   +8.4191584433e+00   
+6.8359375000e-02   +8.4188904816e+00   
+7.0312500000e-02   +8.4186087511e+00   
+7.2265625000e-02   +8.4183128192e+00   
+7.4218750000e-02   +8.4180022538e+00   
+7.6171875000e-02   +8.4176766249e+00   
+7.8125000000e-02   +8.4173355057e+00   
+8.0078125000e-02   +8.4169784743e+00   
+8.2031250000e-02   +8.4166051150e+00   
+8.3984375000e-02   +8.4162150201e+00   
+8.5937500000e-02   +8.4158077915e+00   
+8.7890625000e-02   +8.4153830423e+00   
+8.9843750000e-02   +8.4149403987e+00   
+9.1796875000e-02   +8.4144795022e+00   
+9.3750000000e-02   +8.4140000110e+00   
