# t = +1.0707440050e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -1.8391068734e-01   
-4.9609375000e-01   -3.7439329239e-01   
-4.9414062500e-01   -5.7056723738e-01   
-4.9218750000e-01   -7.7159668053e-01   
-4.9023437500e-01   -9.7668952364e-01   
-4.8828125000e-01   -1.1850963822e+00   
-4.8632812500e-01   -1.3961095234e+00   
-4.8437500000e-01   -1.6090617755e+00   
-4.8242187500e-01   -1.8233254152e+00   
-4.8046875000e-01   -2.0383110349e+00   
-4.7851562500e-01   -2.2534663948e+00   
-4.7656250000e-01   -2.4682752640e+00   
-4.7460937500e-01   -2.6822562532e+00   
-4.7265625000e-01   -2.8949616430e+00   
-4.7070312500e-01   -3.1059762104e+00   
-4.6875000000e-01   -3.3149160568e+00   
-4.6679687500e-01   -3.5214274394e+00   
-4.6484375000e-01   -3.7251856100e+00   
-4.6289062500e-01   -3.9258936617e+00   
-4.6093750000e-01   -4.1232813866e+00   
-4.5898437500e-01   -4.3171041472e+00   
-4.5703125000e-01   -4.5071417611e+00   
-4.5507812500e-01   -4.6931974033e+00   
-4.5312500000e-01   -4.8750965259e+00   
-4.5117187500e-01   -5.0526857962e+00   
-4.4921875000e-01   -5.2258320567e+00   
-4.4726562500e-01   -5.3944213055e+00   
-4.4531250000e-01   -5.5583576996e+00   
-4.4335937500e-01   -5.7175625811e+00   
-4.4140625000e-01   -5.8719735285e+00   
-4.3945312500e-01   -6.0215434316e+00   
-4.3750000000e-01   -6.1662395922e+00   
-4.3554687500e-01   -6.3060428504e+00   
-4.3359375000e-01   -6.4409467371e+00   
-4.3164062500e-01   -6.5709566523e+00   
-4.2968750000e-01   -6.6960890707e+00   
-4.2773437500e-01   -6.8163707731e+00   
-4.2578125000e-01   -6.9318381048e+00   
-4.2382812500e-01   -7.0425362610e+00   
-4.2187500000e-01   -7.1485185978e+00   
-4.1992187500e-01   -7.2498459703e+00   
-4.1796875000e-01   -7.3465860972e+00   
-4.1601562500e-01   -7.4388129500e+00   
-4.1406250000e-01   -7.5266061696e+00   
-4.1210937500e-01   -7.6100505067e+00   
-4.1015625000e-01   -7.6892352882e+00   
-4.0820312500e-01   -7.7642539077e+00   
-4.0625000000e-01   -7.8352033404e+00   
-4.0429687500e-01   -7.9021836810e+00   
-4.0234375000e-01   -7.9652977058e+00   
-4.0039062500e-01   -8.0246504565e+00   
-3.9843750000e-01   -8.0803488471e+00   
-3.9648437500e-01   -8.1325012915e+00   
-3.9453125000e-01   -8.1812173524e+00   
-3.9257812500e-01   -8.2266074113e+00   
-3.9062500000e-01   -8.2687823576e+00   
-3.8867187500e-01   -8.3078532971e+00   
-3.8671875000e-01   -8.3439312798e+00   
-3.8476562500e-01   -8.3771270452e+00   
-3.8281250000e-01   -8.4075507852e+00   
-3.8085937500e-01   -8.4353119240e+00   
-3.7890625000e-01   -8.4605189146e+00   
-3.7695312500e-01   -8.4832790501e+00   
-3.7500000000e-01   -8.5036982915e+00   
-3.7304687500e-01   -8.5218811081e+00   
-3.7109375000e-01   -8.5379303339e+00   
-3.6914062500e-01   -8.5519470356e+00   
-3.6718750000e-01   -8.5640303946e+00   
-3.6523437500e-01   -8.5742775999e+00   
-3.6328125000e-01   -8.5827837544e+00   
-3.6132812500e-01   -8.5896417903e+00   
-3.5937500000e-01   -8.5949423967e+00   
-3.5742187500e-01   -8.5987739560e+00   
-3.5546875000e-01   -8.6012224907e+00   
-3.5351562500e-01   -8.6023716188e+00   
-3.5156250000e-01   -8.6023025175e+00   
-3.4960937500e-01   -8.6010938954e+00   
-3.4765625000e-01   -8.5988219719e+00   
-3.4570312500e-01   -8.5955604640e+00   
-3.4375000000e-01   -8.5913805796e+00   
-3.4179687500e-01   -8.5863510169e+00   
-3.3984375000e-01   -8.5805379702e+00   
-3.3789062500e-01   -8.5740051402e+00   
-3.3593750000e-01   -8.5668137507e+00   
-3.3398437500e-01   -8.5590225685e+00   
-3.3203125000e-01   -8.5506879287e+00   
-3.3007812500e-01   -8.5418637636e+00   
-3.2812500000e-01   -8.5326016353e+00   
-3.2617187500e-01   -8.5229507716e+00   
-3.2421875000e-01   -8.5129581048e+00   
-3.2226562500e-01   -8.5026683137e+00   
-3.2031250000e-01   -8.4921238677e+00   
-3.1835937500e-01   -8.4813650730e+00   
-3.1640625000e-01   -8.4704301212e+00   
-3.1445312500e-01   -8.4593551392e+00   
-3.1250000000e-01   -8.4481742407e+00   
-3.1054687500e-01   -8.4369195790e+00   
-3.0859375000e-01   -8.4256214011e+00   
-3.0664062500e-01   -8.4143081020e+00   
-3.0468750000e-01   -8.4030062804e+00   
-3.0273437500e-01   -8.3917407945e+00   
-3.0078125000e-01   -8.3805348183e+00   
-2.9882812500e-01   -8.3694098980e+00   
-2.9687500000e-01   -8.3583860085e+00   
-2.9492187500e-01   -8.3474816098e+00   
-2.9296875000e-01   -8.3367137032e+00   
-2.9101562500e-01   -8.3260978875e+00   
-2.8906250000e-01   -8.3156484137e+00   
-2.8710937500e-01   -8.3053782408e+00   
-2.8515625000e-01   -8.2952990893e+00   
