# t = +1.0038225047e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +3.9512505462e-01   
-4.9609375000e-01   +7.7250774161e-01   
-4.9414062500e-01   +1.1324277062e+00   
-4.9218750000e-01   +1.4751872445e+00   
-4.9023437500e-01   +1.8011090906e+00   
-4.8828125000e-01   +2.1105343030e+00   
-4.8632812500e-01   +2.4038202473e+00   
-4.8437500000e-01   +2.6813386752e+00   
-4.8242187500e-01   +2.9434738963e+00   
-4.8046875000e-01   +3.1906210425e+00   
-4.7851562500e-01   +3.4231844217e+00   
-4.7656250000e-01   +3.6415759583e+00   
-4.7460937500e-01   +3.8462137212e+00   
-4.7265625000e-01   +4.0375205327e+00   
-4.7070312500e-01   +4.2159226603e+00   
-4.6875000000e-01   +4.3818485862e+00   
-4.6679687500e-01   +4.5357278537e+00   
-4.6484375000e-01   +4.6779899867e+00   
-4.6289062500e-01   +4.8090634826e+00   
-4.6093750000e-01   +4.9293748724e+00   
-4.5898437500e-01   +5.0393478493e+00   
-4.5703125000e-01   +5.1394024608e+00   
-4.5507812500e-01   +5.2299543635e+00   
-4.5312500000e-01   +5.3114141371e+00   
-4.5117187500e-01   +5.3841866564e+00   
-4.4921875000e-01   +5.4486705175e+00   
-4.4726562500e-01   +5.5052575179e+00   
-4.4531250000e-01   +5.5543321857e+00   
-4.4335937500e-01   +5.5962713581e+00   
-4.4140625000e-01   +5.6314438056e+00   
-4.3945312500e-01   +5.6602098993e+00   
-4.3750000000e-01   +5.6829213215e+00   
-4.3554687500e-01   +5.6999208141e+00   
-4.3359375000e-01   +5.7115419658e+00   
-4.3164062500e-01   +5.7181090346e+00   
-4.2968750000e-01   +5.7199368038e+00   
-4.2773437500e-01   +5.7173304696e+00   
-4.2578125000e-01   +5.7105855589e+00   
-4.2382812500e-01   +5.6999878753e+00   
-4.2187500000e-01   +5.6858134712e+00   
-4.1992187500e-01   +5.6683286444e+00   
-4.1796875000e-01   +5.6477899584e+00   
-4.1601562500e-01   +5.6244442836e+00   
-4.1406250000e-01   +5.5985288589e+00   
-4.1210937500e-01   +5.5702713712e+00   
-4.1015625000e-01   +5.5398900527e+00   
-4.0820312500e-01   +5.5075937933e+00   
-4.0625000000e-01   +5.4735822680e+00   
-4.0429687500e-01   +5.4380460767e+00   
-4.0234375000e-01   +5.4011668968e+00   
-4.0039062500e-01   +5.3631176461e+00   
-3.9843750000e-01   +5.3240626553e+00   
-3.9648437500e-01   +5.2841578495e+00   
-3.9453125000e-01   +5.2435509376e+00   
-3.9257812500e-01   +5.2023816074e+00   
-3.9062500000e-01   +5.1607817277e+00   
-3.8867187500e-01   +5.1188755548e+00   
-3.8671875000e-01   +5.0767799426e+00   
-3.8476562500e-01   +5.0346045574e+00   
-3.8281250000e-01   +4.9924520943e+00   
-3.8085937500e-01   +4.9504184954e+00   
-3.7890625000e-01   +4.9085931708e+00   
-3.7695312500e-01   +4.8670592183e+00   
-3.7500000000e-01   +4.8258936448e+00   
-3.7304687500e-01   +4.7851675869e+00   
-3.7109375000e-01   +4.7449465303e+00   
-3.6914062500e-01   +4.7052905282e+00   
-3.6718750000e-01   +4.6662544180e+00   
-3.6523437500e-01   +4.6278880358e+00   
-3.6328125000e-01   +4.5902364281e+00   
-3.6132812500e-01   +4.5533400616e+00   
-3.5937500000e-01   +4.5172350286e+00   
-3.5742187500e-01   +4.4819532501e+00   
-3.5546875000e-01   +4.4475226747e+00   
