# t = +1.0372832549e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -2.3967138664e-01   
-4.9609375000e-01   -4.8286083381e-01   
-4.9414062500e-01   -7.2876471446e-01   
-4.9218750000e-01   -9.7662606589e-01   
-4.9023437500e-01   -1.2257332836e+00   
-4.8828125000e-01   -1.4754187951e+00   
-4.8632812500e-01   -1.7250577172e+00   
-4.8437500000e-01   -1.9740665023e+00   
-4.8242187500e-01   -2.2219015773e+00   
-4.8046875000e-01   -2.4680579771e+00   
-4.7851562500e-01   -2.7120679801e+00   
-4.7656250000e-01   -2.9534997437e+00   
-4.7460937500e-01   -3.1919559484e+00   
-4.7265625000e-01   -3.4270724484e+00   
-4.7070312500e-01   -3.6585169348e+00   
-4.6875000000e-01   -3.8859876122e+00   
-4.6679687500e-01   -4.1092118905e+00   
-4.6484375000e-01   -4.3279450958e+00   
-4.6289062500e-01   -4.5419692003e+00   
-4.6093750000e-01   -4.7510915737e+00   
-4.5898437500e-01   -4.9551437579e+00   
-4.5703125000e-01   -5.1539802659e+00   
-4.5507812500e-01   -5.3474774062e+00   
-4.5312500000e-01   -5.5355321339e+00   
-4.5117187500e-01   -5.7180609291e+00   
-4.4921875000e-01   -5.8949987044e+00   
-4.4726562500e-01   -6.0662977406e+00   
-4.4531250000e-01   -6.2319266526e+00   
-4.4335937500e-01   -6.3918693850e+00   
-4.4140625000e-01   -6.5461242390e+00   
-4.3945312500e-01   -6.6947029287e+00   
-4.3750000000e-01   -6.8376296696e+00   
-4.3554687500e-01   -6.9749402976e+00   
-4.3359375000e-01   -7.1066814185e+00   
-4.3164062500e-01   -7.2329095897e+00   
-4.2968750000e-01   -7.3536905315e+00   
-4.2773437500e-01   -7.4690983699e+00   
-4.2578125000e-01   -7.5792149090e+00   
-4.2382812500e-01   -7.6841289345e+00   
-4.2187500000e-01   -7.7839355462e+00   
-4.1992187500e-01   -7.8787355196e+00   
-4.1796875000e-01   -7.9686346974e+00   
-4.1601562500e-01   -8.0537434080e+00   
-4.1406250000e-01   -8.1341759136e+00   
-4.1210937500e-01   -8.2100498836e+00   
-4.1015625000e-01   -8.2814858966e+00   
-4.0820312500e-01   -8.3486069673e+00   
-4.0625000000e-01   -8.4115380995e+00   
-4.0429687500e-01   -8.4704058637e+00   
-4.0234375000e-01   -8.5253379992e+00   
-4.0039062500e-01   -8.5764630394e+00   
-3.9843750000e-01   -8.6239099605e+00   
-3.9648437500e-01   -8.6678078515e+00   
