# t = +9.0344025423e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -3.9232577664e-01   
-4.9609375000e-01   -7.7586044802e-01   
-4.9414062500e-01   -1.1502801756e+00   
-4.9218750000e-01   -1.5153039599e+00   
-4.9023437500e-01   -1.8706914659e+00   
-4.8828125000e-01   -2.2162408967e+00   
-4.8632812500e-01   -2.5517869175e+00   
-4.8437500000e-01   -2.8771986311e+00   
-4.8242187500e-01   -3.1923776073e+00   
-4.8046875000e-01   -3.4972559656e+00   
-4.7851562500e-01   -3.7917945138e+00   
-4.7656250000e-01   -4.0759809422e+00   
-4.7460937500e-01   -4.3498280744e+00   
-4.7265625000e-01   -4.6133721745e+00   
-4.7070312500e-01   -4.8666713121e+00   
-4.6875000000e-01   -5.1098037840e+00   
-4.6679687500e-01   -5.3428665926e+00   
-4.6484375000e-01   -5.5659739815e+00   
-4.6289062500e-01   -5.7792560279e+00   
-4.6093750000e-01   -5.9828572907e+00   
-4.5898437500e-01   -6.1769355135e+00   
-4.5703125000e-01   -6.3616603843e+00   
-4.5507812500e-01   -6.5372123474e+00   
-4.5312500000e-01   -6.7037814696e+00   
-4.5117187500e-01   -6.8615663593e+00   
-4.4921875000e-01   -7.0107731363e+00   
-4.4726562500e-01   -7.1516144524e+00   
-4.4531250000e-01   -7.2843085622e+00   
-4.4335937500e-01   -7.4090784412e+00   
-4.4140625000e-01   -7.5261509518e+00   
-4.3945312500e-01   -7.6357560558e+00   
-4.3750000000e-01   -7.7381260704e+00   
-4.3554687500e-01   -7.8334949697e+00   
-4.3359375000e-01   -7.9220977269e+00   
-4.3164062500e-01   -8.0041696988e+00   
-4.2968750000e-01   -8.0799460495e+00   
-4.2773437500e-01   -8.1496612130e+00   
-4.2578125000e-01   -8.2135483929e+00   
-4.2382812500e-01   -8.2718390979e+00   
-4.2187500000e-01   -8.3247627127e+00   
-4.1992187500e-01   -8.3725461011e+00   
-4.1796875000e-01   -8.4154132425e+00   
-4.1601562500e-01   -8.4535848979e+00   
-4.1406250000e-01   -8.4872783069e+00   
-4.1210937500e-01   -8.5167069114e+00   
-4.1015625000e-01   -8.5420801080e+00   
