# t = +5.6883275266e+00
# r                 u_z
-5.0000000000e-01   -0.0000000000e+00   
-4.9804687500e-01   -1.3223678833e-01   
-4.9609375000e-01   -2.4638837626e-01   
-4.9414062500e-01   -3.4337625024e-01   
-4.9218750000e-01   -4.2410146959e-01   
-4.9023437500e-01   -4.8944389533e-01   
-4.8828125000e-01   -5.4026152022e-01   
-4.8632812500e-01   -5.7738989498e-01   
-4.8437500000e-01   -6.0164164554e-01   
-4.8242187500e-01   -6.1380607646e-01   
-4.8046875000e-01   -6.1464885567e-01   
-4.7851562500e-01   -6.0491177588e-01   
-4.7656250000e-01   -5.8531258818e-01   
-4.7460937500e-01   -5.5654490330e-01   
-4.7265625000e-01   -5.1927815636e-01   
-4.7070312500e-01   -4.7415763093e-01   
-4.6875000000e-01   -4.2180453841e-01   
-4.6679687500e-01   -3.6281614884e-01   
-4.6484375000e-01   -2.9776596942e-01   
-4.6289062500e-01   -2.2720396715e-01   
-4.6093750000e-01   -1.5165683219e-01   
-4.5898437500e-01   -7.1628278427e-02   
-4.5703125000e-01   +1.2400621695e-02   
-4.5507812500e-01   +9.9971071311e-02   
-4.5312500000e-01   +1.9064615512e-01   
-4.5117187500e-01   +2.8401042001e-01   
-4.4921875000e-01   +3.7966943298e-01   
-4.4726562500e-01   +4.7724931899e-01   
-4.4531250000e-01   +5.7639628099e-01   
-4.4335937500e-01   +6.7677610471e-01   
-4.4140625000e-01   +7.7807365009e-01   
-4.3945312500e-01   +8.7999233167e-01   
-4.3750000000e-01   +9.8225358976e-01   
-4.3554687500e-01   +1.0845963543e+00   
-4.3359375000e-01   +1.1867765032e+00   
-4.3164062500e-01   +1.2885663167e+00   
-4.2968750000e-01   +1.3897539291e+00   
-4.2773437500e-01   +1.4901427804e+00   
-4.2578125000e-01   +1.5895510672e+00   
-4.2382812500e-01   +1.6878111959e+00   
-4.2187500000e-01   +1.7847692391e+00   
-4.1992187500e-01   +1.8802843952e+00   
-4.1796875000e-01   +1.9742284533e+00   
-4.1601562500e-01   +2.0664852639e+00   
-4.1406250000e-01   +2.1569502168e+00   
-4.1210937500e-01   +2.2455297255e+00   
-4.1015625000e-01   +2.3321407208e+00   
-4.0820312500e-01   +2.4167101530e+00   
-4.0625000000e-01   +2.4991745030e+00   
-4.0429687500e-01   +2.5794793040e+00   
-4.0234375000e-01   +2.6575786736e+00   
-4.0039062500e-01   +2.7334348563e+00   
-3.9843750000e-01   +2.8070177776e+00   
-3.9648437500e-01   +2.8783046093e+00   
-3.9453125000e-01   +2.9472793468e+00   
-3.9257812500e-01   +3.0139323981e+00   
-3.9062500000e-01   +3.0782601851e+00   
-3.8867187500e-01   +3.1402647574e+00   
-3.8671875000e-01   +3.1999534179e+00   
-3.8476562500e-01   +3.2573383609e+00   
-3.8281250000e-01   +3.3124363235e+00   
-3.8085937500e-01   +3.3652682480e+00   
-3.7890625000e-01   +3.4158589580e+00   
-3.7695312500e-01   +3.4642368461e+00   
-3.7500000000e-01   +3.5104335738e+00   
-3.7304687500e-01   +3.5544837844e+00   
-3.7109375000e-01   +3.5964248265e+00   
-3.6914062500e-01   +3.6362964907e+00   
-3.6718750000e-01   +3.6741407574e+00   
-3.6523437500e-01   +3.7100015557e+00   
-3.6328125000e-01   +3.7439245345e+00   
-3.6132812500e-01   +3.7759568439e+00   
-3.5937500000e-01   +3.8061469283e+00   
-3.5742187500e-01   +3.8345443288e+00   
-3.5546875000e-01   +3.8611994977e+00   
-3.5351562500e-01   +3.8861636219e+00   
-3.5156250000e-01   +3.9094884563e+00   
-3.4960937500e-01   +3.9312261674e+00   
-3.4765625000e-01   +3.9514291860e+00   
-3.4570312500e-01   +3.9701500685e+00   
-3.4375000000e-01   +3.9874413678e+00   
-3.4179687500e-01   +4.0033555117e+00   
-3.3984375000e-01   +4.0179446910e+00   
-3.3789062500e-01   +4.0312607538e+00   
-3.3593750000e-01   +4.0433551090e+00   
-3.3398437500e-01   +4.0542786362e+00   
-3.3203125000e-01   +4.0640816032e+00   
-3.3007812500e-01   +4.0728135900e+00   
-3.2812500000e-01   +4.0805234201e+00   
-3.2617187500e-01   +4.0872590968e+00   
-3.2421875000e-01   +4.0930677470e+00   
-3.2226562500e-01   +4.0979955694e+00   
-3.2031250000e-01   +4.1020877893e+00   
-3.1835937500e-01   +4.1053886179e+00   
-3.1640625000e-01   +4.1079412171e+00   
-3.1445312500e-01   +4.1097876685e+00   
-3.1250000000e-01   +4.1109689474e+00   
-3.1054687500e-01   +4.1115249009e+00   
-3.0859375000e-01   +4.1114942298e+00   
-3.0664062500e-01   +4.1109144746e+00   
-3.0468750000e-01   +4.1098220052e+00   
-3.0273437500e-01   +4.1082520136e+00   
-3.0078125000e-01   +4.1062385098e+00   
-2.9882812500e-01   +4.1038143213e+00   
-2.9687500000e-01   +4.1010110943e+00   
-2.9492187500e-01   +4.0978592989e+00   
-2.9296875000e-01   +4.0943882350e+00   
-2.9101562500e-01   +4.0906260423e+00   
-2.8906250000e-01   +4.0865997105e+00   
-2.8710937500e-01   +4.0823350933e+00   
-2.8515625000e-01   +4.0778569225e+00   
-2.8320312500e-01   +4.0731888246e+00   
-2.8125000000e-01   +4.0683533388e+00   
-2.7929687500e-01   +4.0633719359e+00   
-2.7734375000e-01   +4.0582650392e+00   
-2.7539062500e-01   +4.0530520454e+00   
-2.7343750000e-01   +4.0477513471e+00   
-2.7148437500e-01   +4.0423803565e+00   
-2.6953125000e-01   +4.0369555287e+00   
-2.6757812500e-01   +4.0314923867e+00   
-2.6562500000e-01   +4.0260055465e+00   
-2.6367187500e-01   +4.0205087424e+00   
-2.6171875000e-01   +4.0150148530e+00   
-2.5976562500e-01   +4.0095359277e+00   
-2.5781250000e-01   +4.0040832123e+00   
-2.5585937500e-01   +3.9986671762e+00   
-2.5390625000e-01   +3.9932975384e+00   
-2.5195312500e-01   +3.9879832943e+00   
-2.5000000000e-01   +3.9827327418e+00   
-2.4804687500e-01   +3.9775535081e+00   
-2.4609375000e-01   +3.9724525750e+00   
-2.4414062500e-01   +3.9674363054e+00   
-2.4218750000e-01   +3.9625104689e+00   
-2.4023437500e-01   +3.9576802664e+00   
-2.3828125000e-01   +3.9529503558e+00   
-2.3632812500e-01   +3.9483248761e+00   
-2.3437500000e-01   +3.9438074715e+00   
-2.3242187500e-01   +3.9394013153e+00   
-2.3046875000e-01   +3.9351091330e+00   
-2.2851562500e-01   +3.9309332246e+00   
-2.2656250000e-01   +3.9268754875e+00   
-2.2460937500e-01   +3.9229374377e+00   
-2.2265625000e-01   +3.9191202309e+00   
-2.2070312500e-01   +3.9154246833e+00   
-2.1875000000e-01   +3.9118512914e+00   
-2.1679687500e-01   +3.9084002514e+00   
-2.1484375000e-01   +3.9050714783e+00   
-2.1289062500e-01   +3.9018646236e+00   
-2.1093750000e-01   +3.8987790937e+00   
-2.0898437500e-01   +3.8958140662e+00   
-2.0703125000e-01   +3.8929685070e+00   
-2.0507812500e-01   +3.8902411857e+00   
-2.0312500000e-01   +3.8876306913e+00   
-2.0117187500e-01   +3.8851354466e+00   
-1.9921875000e-01   +3.8827537224e+00   
-1.9726562500e-01   +3.8804836510e+00   
-1.9531250000e-01   +3.8783232395e+00   
-1.9335937500e-01   +3.8762703819e+00   
-1.9140625000e-01   +3.8743228709e+00   
-1.8945312500e-01   +3.8724784095e+00   
-1.8750000000e-01   +3.8707346217e+00   
-1.8554687500e-01   +3.8690890629e+00   
-1.8359375000e-01   +3.8675392291e+00   
-1.8164062500e-01   +3.8660825670e+00   
-1.7968750000e-01   +3.8647164822e+00   
-1.7773437500e-01   +3.8634383476e+00   
-1.7578125000e-01   +3.8622455112e+00   
-1.7382812500e-01   +3.8611353037e+00   
-1.7187500000e-01   +3.8601050453e+00   
-1.6992187500e-01   +3.8591520520e+00   
-1.6796875000e-01   +3.8582736420e+00   
-1.6601562500e-01   +3.8574671413e+00   
-1.6406250000e-01   +3.8567298891e+00   
-1.6210937500e-01   +3.8560592423e+00   
-1.6015625000e-01   +3.8554525807e+00   
-1.5820312500e-01   +3.8549073107e+00   
-1.5625000000e-01   +3.8544208696e+00   
-1.5429687500e-01   +3.8539907289e+00   
-1.5234375000e-01   +3.8536143975e+00   
-1.5039062500e-01   +3.8532894249e+00   
-1.4843750000e-01   +3.8530134038e+00   
-1.4648437500e-01   +3.8527839723e+00   
-1.4453125000e-01   +3.8525988165e+00   
-1.4257812500e-01   +3.8524556718e+00   
-1.4062500000e-01   +3.8523523250e+00   
