# t = +6.3575425297e+00
# r                 u_z
-5.0000000000e-01   -0.0000000000e+00   
-4.9804687500e-01   -2.4699999155e-01   
-4.9609375000e-01   -4.7408333448e-01   
-4.9414062500e-01   -6.8202634287e-01   
-4.9218750000e-01   -8.7159914147e-01   
-4.9023437500e-01   -1.0435642602e+00   
-4.8828125000e-01   -1.1986753400e+00   
-4.8632812500e-01   -1.3376759456e+00   
-4.8437500000e-01   -1.4612984807e+00   
-4.8242187500e-01   -1.5702632019e+00   
-4.8046875000e-01   -1.6652773265e+00   
-4.7851562500e-01   -1.7470342302e+00   
-4.7656250000e-01   -1.8162127310e+00   
-4.7460937500e-01   -1.8734764545e+00   
-4.7265625000e-01   -1.9194732777e+00   
-4.7070312500e-01   -1.9548348461e+00   
-4.6875000000e-01   -1.9801761620e+00   
-4.6679687500e-01   -1.9960952384e+00   
-4.6484375000e-01   -2.0031728161e+00   
-4.6289062500e-01   -2.0019721410e+00   
-4.6093750000e-01   -1.9930387962e+00   
-4.5898437500e-01   -1.9769005878e+00   
-4.5703125000e-01   -1.9540674791e+00   
-4.5507812500e-01   -1.9250315724e+00   
-4.5312500000e-01   -1.8902671326e+00   
-4.5117187500e-01   -1.8502306524e+00   
-4.4921875000e-01   -1.8053609545e+00   
-4.4726562500e-01   -1.7560793283e+00   
-4.4531250000e-01   -1.7027896990e+00   
-4.4335937500e-01   -1.6458788265e+00   
-4.4140625000e-01   -1.5857165313e+00   
-4.3945312500e-01   -1.5226559448e+00   
-4.3750000000e-01   -1.4570337832e+00   
-4.3554687500e-01   -1.3891706407e+00   
-4.3359375000e-01   -1.3193713019e+00   
-4.3164062500e-01   -1.2479250707e+00   
-4.2968750000e-01   -1.1751061126e+00   
-4.2773437500e-01   -1.1011738117e+00   
-4.2578125000e-01   -1.0263731371e+00   
-4.2382812500e-01   -9.5093501985e-01   
-4.2187500000e-01   -8.7507673739e-01   
-4.1992187500e-01   -7.9900230486e-01   
-4.1796875000e-01   -7.2290287146e-01   
-4.1601562500e-01   -6.4695712076e-01   
-4.1406250000e-01   -5.7133167381e-01   
-4.1210937500e-01   -4.9618149377e-01   
-4.1015625000e-01   -4.2165029119e-01   
-4.0820312500e-01   -3.4787092878e-01   
-4.0625000000e-01   -2.7496582483e-01   
-4.0429687500e-01   -2.0304735445e-01   
-4.0234375000e-01   -1.3221824778e-01   
-4.0039062500e-01   -6.2571984484e-02   
-3.9843750000e-01   +5.8068162523e-03   
-3.9648437500e-01   +7.2842010649e-02   
