# t = +8.6997950407e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -4.0818198654e-01   
-4.9609375000e-01   -8.0485195227e-01   
-4.9414062500e-01   -1.1898341979e+00   
-4.9218750000e-01   -1.5629921402e+00   
-4.9023437500e-01   -1.9242260437e+00   
-4.8828125000e-01   -2.2734708155e+00   
-4.8632812500e-01   -2.6106938654e+00   
-4.8437500000e-01   -2.9358930305e+00   
-4.8242187500e-01   -3.2490945667e+00   
-4.8046875000e-01   -3.5503512062e+00   
-4.7851562500e-01   -3.8397402813e+00   
-4.7656250000e-01   -4.1173619147e+00   
-4.7460937500e-01   -4.3833372769e+00   
-4.7265625000e-01   -4.6378069081e+00   
-4.7070312500e-01   -4.8809291078e+00   
-4.6875000000e-01   -5.1128783875e+00   
-4.6679687500e-01   -5.3338439890e+00   
-4.6484375000e-01   -5.5440284657e+00   
-4.6289062500e-01   -5.7436463272e+00   
-4.6093750000e-01   -5.9329227448e+00   
-4.5898437500e-01   -6.1120923187e+00   
-4.5703125000e-01   -6.2813979038e+00   
-4.5507812500e-01   -6.4410894944e+00   
-4.5312500000e-01   -6.5914231661e+00   
-4.5117187500e-01   -6.7326600732e+00   
-4.4921875000e-01   -6.8650655006e+00   
-4.4726562500e-01   -6.9889079692e+00   
-4.4531250000e-01   -7.1044583924e+00   
-4.4335937500e-01   -7.2119892830e+00   
-4.4140625000e-01   -7.3117740095e+00   
-4.3945312500e-01   -7.4040860983e+00   
-4.3750000000e-01   -7.4891985829e+00   
-4.3554687500e-01   -7.5673833972e+00   
-4.3359375000e-01   -7.6389108105e+00   
-4.3164062500e-01   -7.7040489052e+00   
-4.2968750000e-01   -7.7630630933e+00   
-4.2773437500e-01   -7.8162156712e+00   
-4.2578125000e-01   -7.8637654117e+00   
-4.2382812500e-01   -7.9059671908e+00   
-4.2187500000e-01   -7.9430716484e+00   
-4.1992187500e-01   -7.9753248817e+00   
-4.1796875000e-01   -8.0029681689e+00   
-4.1601562500e-01   -8.0262377232e+00   
-4.1406250000e-01   -8.0453644738e+00   
-4.1210937500e-01   -8.0605738753e+00   
-4.1015625000e-01   -8.0720857410e+00   
-4.0820312500e-01   -8.0801141013e+00   
-4.0625000000e-01   -8.0848670849e+00   
-4.0429687500e-01   -8.0865468208e+00   
-4.0234375000e-01   -8.0853493625e+00   
-4.0039062500e-01   -8.0814646295e+00   
-3.9843750000e-01   -8.0750763683e+00   
-3.9648437500e-01   -8.0663621298e+00   
-3.9453125000e-01   -8.0554932630e+00   
-3.9257812500e-01   -8.0426349233e+00   
-3.9062500000e-01   -8.0279460948e+00   
-3.8867187500e-01   -8.0115796256e+00   
-3.8671875000e-01   -7.9936822753e+00   
-3.8476562500e-01   -7.9743947730e+00   
-3.8281250000e-01   -7.9538518858e+00   
-3.8085937500e-01   -7.9321824972e+00   
-3.7890625000e-01   -7.9095096931e+00   
-3.7695312500e-01   -7.8859508566e+00   
-3.7500000000e-01   -7.8616177690e+00   
-3.7304687500e-01   -7.8366167177e+00   
-3.7109375000e-01   -7.8110486095e+00   
-3.6914062500e-01   -7.7850090896e+00   
-3.6718750000e-01   -7.7585886640e+00   
-3.6523437500e-01   -7.7318728263e+00   
-3.6328125000e-01   -7.7049421883e+00   
-3.6132812500e-01   -7.6778726125e+00   
-3.5937500000e-01   -7.6507353474e+00   
-3.5742187500e-01   -7.6235971645e+00   
-3.5546875000e-01   -7.5965204966e+00   
-3.5351562500e-01   -7.5695635776e+00   
-3.5156250000e-01   -7.5427805818e+00   
-3.4960937500e-01   -7.5162217646e+00   
-3.4765625000e-01   -7.4899336025e+00   
-3.4570312500e-01   -7.4639589323e+00   
-3.4375000000e-01   -7.4383370906e+00   
-3.4179687500e-01   -7.4131040511e+00   
-3.3984375000e-01   -7.3882925616e+00   
-3.3789062500e-01   -7.3639322789e+00   
-3.3593750000e-01   -7.3400499022e+00   
-3.3398437500e-01   -7.3166693048e+00   
-3.3203125000e-01   -7.2938116632e+00   
-3.3007812500e-01   -7.2714955843e+00   
-3.2812500000e-01   -7.2497372303e+00   
-3.2617187500e-01   -7.2285504407e+00   
-3.2421875000e-01   -7.2079468522e+00   
-3.2226562500e-01   -7.1879360149e+00   
-3.2031250000e-01   -7.1685255069e+00   
-3.1835937500e-01   -7.1497210450e+00   
-3.1640625000e-01   -7.1315265928e+00   
-3.1445312500e-01   -7.1139444659e+00   
-3.1250000000e-01   -7.0969754336e+00   
-3.1054687500e-01   -7.0806188179e+00   
-3.0859375000e-01   -7.0648725891e+00   
-3.0664062500e-01   -7.0497334587e+00   
-3.0468750000e-01   -7.0351969680e+00   
-3.0273437500e-01   -7.0212575752e+00   
-3.0078125000e-01   -7.0079087381e+00   
-2.9882812500e-01   -6.9951429938e+00   
-2.9687500000e-01   -6.9829520359e+00   
-2.9492187500e-01   -6.9713267884e+00   
-2.9296875000e-01   -6.9602574757e+00   
-2.9101562500e-01   -6.9497336909e+00   
-2.8906250000e-01   -6.9397444605e+00   
-2.8710937500e-01   -6.9302783056e+00   
-2.8515625000e-01   -6.9213233015e+00   
-2.8320312500e-01   -6.9128671334e+00   
-2.8125000000e-01   -6.9048971497e+00   
-2.7929687500e-01   -6.8974004128e+00   
-2.7734375000e-01   -6.8903637469e+00   
-2.7539062500e-01   -6.8837737834e+00   
-2.7343750000e-01   -6.8776170037e+00   
