# t = +1.3384300063e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +4.0959907221e-01   
-4.9609375000e-01   +8.0315470311e-01   
-4.9414062500e-01   +1.1807966965e+00   
-4.9218750000e-01   +1.5426837525e+00   
-4.9023437500e-01   +1.8890011795e+00   
-4.8828125000e-01   +2.2199586957e+00   
-4.8632812500e-01   +2.5357883188e+00   
-4.8437500000e-01   +2.8367423430e+00   
-4.8242187500e-01   +3.1230914032e+00   
-4.8046875000e-01   +3.3951226233e+00   
-4.7851562500e-01   +3.6531378496e+00   
-4.7656250000e-01   +3.8974519664e+00   
-4.7460937500e-01   +4.1283912921e+00   
-4.7265625000e-01   +4.3462920557e+00   
-4.7070312500e-01   +4.5514989500e+00   
-4.6875000000e-01   +4.7443637621e+00   
-4.6679687500e-01   +4.9252440766e+00   
-4.6484375000e-01   +5.0945020522e+00   
-4.6289062500e-01   +5.2525032684e+00   
-4.6093750000e-01   +5.3996156403e+00   
-4.5898437500e-01   +5.5362084000e+00   
-4.5703125000e-01   +5.6626511427e+00   
-4.5507812500e-01   +5.7793129349e+00   
-4.5312500000e-01   +5.8865614829e+00   
-4.5117187500e-01   +5.9847623598e+00   
-4.4921875000e-01   +6.0742782884e+00   
-4.4726562500e-01   +6.1554684788e+00   
-4.4531250000e-01   +6.2286880175e+00   
-4.4335937500e-01   +6.2942873073e+00   
-4.4140625000e-01   +6.3526115549e+00   
-4.3945312500e-01   +6.4040003044e+00   
-4.3750000000e-01   +6.4487870156e+00   
-4.3554687500e-01   +6.4872986843e+00   
-4.3359375000e-01   +6.5198555021e+00   
-4.3164062500e-01   +6.5467705563e+00   
-4.2968750000e-01   +6.5683495644e+00   
-4.2773437500e-01   +6.5848906452e+00   
-4.2578125000e-01   +6.5966841214e+00   
-4.2382812500e-01   +6.6040123550e+00   
-4.2187500000e-01   +6.6071496105e+00   
-4.1992187500e-01   +6.6063619479e+00   
-4.1796875000e-01   +6.6019071407e+00   
-4.1601562500e-01   +6.5940346192e+00   
-4.1406250000e-01   +6.5829854372e+00   
-4.1210937500e-01   +6.5689922604e+00   
-4.1015625000e-01   +6.5522793750e+00   
-4.0820312500e-01   +6.5330627157e+00   
-4.0625000000e-01   +6.5115499112e+00   
-4.0429687500e-01   +6.4879403457e+00   
-4.0234375000e-01   +6.4624252368e+00   
-4.0039062500e-01   +6.4351877258e+00   
-3.9843750000e-01   +6.4064029822e+00   
-3.9648437500e-01   +6.3762383193e+00   
-3.9453125000e-01   +6.3448533206e+00   
-3.9257812500e-01   +6.3123999760e+00   
-3.9062500000e-01   +6.2790228264e+00   
-3.8867187500e-01   +6.2448591171e+00   
-3.8671875000e-01   +6.2100389568e+00   
-3.8476562500e-01   +6.1746854838e+00   
-3.8281250000e-01   +6.1389150370e+00   
-3.8085937500e-01   +6.1028373314e+00   
-3.7890625000e-01   +6.0665556381e+00   
-3.7695312500e-01   +6.0301669666e+00   
-3.7500000000e-01   +5.9937622503e+00   
-3.7304687500e-01   +5.9574265338e+00   
-3.7109375000e-01   +5.9212391613e+00   
-3.6914062500e-01   +5.8852739661e+00   
-3.6718750000e-01   +5.8495994605e+00   
-3.6523437500e-01   +5.8142790256e+00   
-3.6328125000e-01   +5.7793711000e+00   
-3.6132812500e-01   +5.7449293685e+00   
-3.5937500000e-01   +5.7110029486e+00   
-3.5742187500e-01   +5.6776365758e+00   
-3.5546875000e-01   +5.6448707867e+00   
-3.5351562500e-01   +5.6127420999e+00   
-3.5156250000e-01   +5.5812831943e+00   
-3.4960937500e-01   +5.5505230848e+00   
-3.4765625000e-01   +5.5204872943e+00   
-3.4570312500e-01   +5.4911980234e+00   
-3.4375000000e-01   +5.4626743157e+00   
-3.4179687500e-01   +5.4349322207e+00   
-3.3984375000e-01   +5.4079849518e+00   
-3.3789062500e-01   +5.3818430409e+00   
-3.3593750000e-01   +5.3565144897e+00   
-3.3398437500e-01   +5.3320049159e+00   
-3.3203125000e-01   +5.3083176957e+00   
-3.3007812500e-01   +5.2854541027e+00   
-3.2812500000e-01   +5.2634134417e+00   
-3.2617187500e-01   +5.2421931787e+00   
-3.2421875000e-01   +5.2217890668e+00   
-3.2226562500e-01   +5.2021952672e+00   
-3.2031250000e-01   +5.1834044665e+00   
-3.1835937500e-01   +5.1654079896e+00   
-3.1640625000e-01   +5.1481959082e+00   
-3.1445312500e-01   +5.1317571451e+00   
-3.1250000000e-01   +5.1160795744e+00   
-3.1054687500e-01   +5.1011501177e+00   
-3.0859375000e-01   +5.0869548356e+00   
-3.0664062500e-01   +5.0734790160e+00   
-3.0468750000e-01   +5.0607072580e+00   
-3.0273437500e-01   +5.0486235518e+00   
-3.0078125000e-01   +5.0372113546e+00   
-2.9882812500e-01   +5.0264536635e+00   
-2.9687500000e-01   +5.0163330842e+00   
-2.9492187500e-01   +5.0068318958e+00   
-2.9296875000e-01   +4.9979321126e+00   
-2.9101562500e-01   +4.9896155424e+00   
-2.8906250000e-01   +4.9818638415e+00   
-2.8710937500e-01   +4.9746585661e+00   
-2.8515625000e-01   +4.9679812207e+00   
-2.8320312500e-01   +4.9618133040e+00   
-2.8125000000e-01   +4.9561363512e+00   
-2.7929687500e-01   +4.9509319733e+00   
-2.7734375000e-01   +4.9461818946e+00   
-2.7539062500e-01   +4.9418679864e+00   
-2.7343750000e-01   +4.9379722990e+00   
-2.7148437500e-01   +4.9344770905e+00   
-2.6953125000e-01   +4.9313648542e+00   
-2.6757812500e-01   +4.9286183423e+00   
-2.6562500000e-01   +4.9262205890e+00   
-2.6367187500e-01   +4.9241549303e+00   
-2.6171875000e-01   +4.9224050222e+00   
-2.5976562500e-01   +4.9209548572e+00   
-2.5781250000e-01   +4.9197887788e+00   
-2.5585937500e-01   +4.9188914940e+00   
-2.5390625000e-01   +4.9182480845e+00   
-2.5195312500e-01   +4.9178440162e+00   
-2.5000000000e-01   +4.9176651475e+00   
-2.4804687500e-01   +4.9176977352e+00   
-2.4609375000e-01   +4.9179284406e+00   
-2.4414062500e-01   +4.9183443327e+00   
-2.4218750000e-01   +4.9189328918e+00   
-2.4023437500e-01   +4.9196820105e+00   
-2.3828125000e-01   +4.9205799949e+00   
-2.3632812500e-01   +4.9216155640e+00   
-2.3437500000e-01   +4.9227778485e+00   
-2.3242187500e-01   +4.9240563887e+00   
-2.3046875000e-01   +4.9254411318e+00   
-2.2851562500e-01   +4.9269224279e+00   
-2.2656250000e-01   +4.9284910263e+00   
-2.2460937500e-01   +4.9301380700e+00   
-2.2265625000e-01   +4.9318550906e+00   
-2.2070312500e-01   +4.9336340020e+00   
-2.1875000000e-01   +4.9354670944e+00   
-2.1679687500e-01   +4.9373470269e+00   
-2.1484375000e-01   +4.9392668204e+00   
-2.1289062500e-01   +4.9412198501e+00   
-2.1093750000e-01   +4.9431998375e+00   
-2.0898437500e-01   +4.9452008420e+00   
-2.0703125000e-01   +4.9472172528e+00   
-2.0507812500e-01   +4.9492437801e+00   
-2.0312500000e-01   +4.9512754464e+00   
-2.0117187500e-01   +4.9533075774e+00   
-1.9921875000e-01   +4.9553357934e+00   
-1.9726562500e-01   +4.9573559998e+00   
-1.9531250000e-01   +4.9593643781e+00   
-1.9335937500e-01   +4.9613573769e+00   
-1.9140625000e-01   +4.9633317024e+00   
-1.8945312500e-01   +4.9652843095e+00   
-1.8750000000e-01   +4.9672123928e+00   
-1.8554687500e-01   +4.9691133771e+00   
-1.8359375000e-01   +4.9709849089e+00   
-1.8164062500e-01   +4.9728248472e+00   
-1.7968750000e-01   +4.9746312548e+00   
-1.7773437500e-01   +4.9764023897e+00   
-1.7578125000e-01   +4.9781366963e+00   
-1.7382812500e-01   +4.9798327973e+00   
-1.7187500000e-01   +4.9814894853e+00   
-1.6992187500e-01   +4.9831057144e+00   
-1.6796875000e-01   +4.9846805929e+00   
-1.6601562500e-01   +4.9862133750e+00   
-1.6406250000e-01   +4.9877034533e+00   
-1.6210937500e-01   +4.9891503517e+00   
-1.6015625000e-01   +4.9905537176e+00   
-1.5820312500e-01   +4.9919133156e+00   
-1.5625000000e-01   +4.9932290200e+00   
-1.5429687500e-01   +4.9945008086e+00   
-1.5234375000e-01   +4.9957287561e+00   
-1.5039062500e-01   +4.9969130280e+00   
-1.4843750000e-01   +4.9980538742e+00   
-1.4648437500e-01   +4.9991516237e+00   
-1.4453125000e-01   +5.0002066788e+00   
-1.4257812500e-01   +5.0012195092e+00   
-1.4062500000e-01   +5.0021906477e+00   
-1.3867187500e-01   +5.0031206843e+00   
-1.3671875000e-01   +5.0040102620e+00   
-1.3476562500e-01   +5.0048600717e+00   
-1.3281250000e-01   +5.0056708481e+00   
-1.3085937500e-01   +5.0064433655e+00   
-1.2890625000e-01   +5.0071784332e+00   
-1.2695312500e-01   +5.0078768925e+00   
-1.2500000000e-01   +5.0085396122e+00   
-1.2304687500e-01   +5.0091674855e+00   
-1.2109375000e-01   +5.0097614265e+00   
-1.1914062500e-01   +5.0103223673e+00   
-1.1718750000e-01   +5.0108512547e+00   
-1.1523437500e-01   +5.0113490473e+00   
-1.1328125000e-01   +5.0118167130e+00   
-1.1132812500e-01   +5.0122552266e+00   
-1.0937500000e-01   +5.0126655671e+00   
-1.0742187500e-01   +5.0130487153e+00   
-1.0546875000e-01   +5.0134056524e+00   
-1.0351562500e-01   +5.0137373574e+00   
-1.0156250000e-01   +5.0140448052e+00   
-9.9609375000e-02   +5.0143289653e+00   
-9.7656250000e-02   +5.0145908001e+00   
-9.5703125000e-02   +5.0148312631e+00   
-9.3750000000e-02   +5.0150512977e+00   
-9.1796875000e-02   +5.0152518362e+00   
-8.9843750000e-02   +5.0154337980e+00   
-8.7890625000e-02   +5.0155980891e+00   
-8.5937500000e-02   +5.0157456009e+00   
-8.3984375000e-02   +5.0158772093e+00   
-8.2031250000e-02   +5.0159937739e+00   
-8.0078125000e-02   +5.0160961371e+00   
-7.8125000000e-02   +5.0161851239e+00   
-7.6171875000e-02   +5.0162615407e+00   
-7.4218750000e-02   +5.0163261753e+00   
-7.2265625000e-02   +5.0163797961e+00   
-7.0312500000e-02   +5.0164231520e+00   
-6.8359375000e-02   +5.0164569716e+00   
-6.6406250000e-02   +5.0164819636e+00   
-6.4453125000e-02   +5.0164988159e+00   
-6.2500000000e-02   +5.0165081956e+00   
-6.0546875000e-02   +5.0165107492e+00   
-5.8593750000e-02   +5.0165071019e+00   
-5.6640625000e-02   +5.0164978580e+00   
-5.4687500000e-02   +5.0164836005e+00   
-5.2734375000e-02   +5.0164648915e+00   
-5.0781250000e-02   +5.0164422718e+00   
-4.8828125000e-02   +5.0164162610e+00   
-4.6875000000e-02   +5.0163873577e+00   
-4.4921875000e-02   +5.0163560397e+00   
-4.2968750000e-02   +5.0163227636e+00   
-4.1015625000e-02   +5.0162879654e+00   
-3.9062500000e-02   +5.0162520603e+00   
-3.7109375000e-02   +5.0162154431e+00   
-3.5156250000e-02   +5.0161784879e+00   
