# t = +1.1711262555e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +4.5293269267e-03   
-4.9609375000e-01   -5.4247929227e-03   
-4.9414062500e-01   -2.8885902219e-02   
-4.9218750000e-01   -6.4910209020e-02   
-4.9023437500e-01   -1.1258664818e-01   
-4.8828125000e-01   -1.7103686140e-01   
-4.8632812500e-01   -2.3941510146e-01   
-4.8437500000e-01   -3.1690806574e-01   
-4.8242187500e-01   -4.0273466436e-01   
-4.8046875000e-01   -4.9614572763e-01   
-4.7851562500e-01   -5.9642365771e-01   
-4.7656250000e-01   -7.0288202884e-01   
-4.7460937500e-01   -8.1486514069e-01   
-4.7265625000e-01   -9.3174752891e-01   
-4.7070312500e-01   -1.0529334368e+00   
-4.6875000000e-01   -1.1778562523e+00   
-4.6679687500e-01   -1.3059779132e+00   
-4.6484375000e-01   -1.4367882850e+00   
-4.6289062500e-01   -1.5698045140e+00   
-4.6093750000e-01   -1.7045703592e+00   
-4.5898437500e-01   -1.8406555059e+00   
-4.5703125000e-01   -1.9776548633e+00   
-4.5507812500e-01   -2.1151878500e+00   
-4.5312500000e-01   -2.2528976688e+00   
-4.5117187500e-01   -2.3904505737e+00   
-4.4921875000e-01   -2.5275351311e+00   
-4.4726562500e-01   -2.6638614777e+00   
-4.4531250000e-01   -2.7991605770e+00   
-4.4335937500e-01   -2.9331834754e+00   
-4.4140625000e-01   -3.0657005614e+00   
-4.3945312500e-01   -3.1965008275e+00   
-4.3750000000e-01   -3.3253911376e+00   
-4.3554687500e-01   -3.4521955013e+00   
-4.3359375000e-01   -3.5767543555e+00   
-4.3164062500e-01   -3.6989238549e+00   
-4.2968750000e-01   -3.8185751733e+00   
-4.2773437500e-01   -3.9355938147e+00   
-4.2578125000e-01   -4.0498789379e+00   
-4.2382812500e-01   -4.1613426921e+00   
-4.2187500000e-01   -4.2699095673e+00   
-4.1992187500e-01   -4.3755157580e+00   
-4.1796875000e-01   -4.4781085418e+00   
-4.1601562500e-01   -4.5776456729e+00   
-4.1406250000e-01   -4.6740947918e+00   
-4.1210937500e-01   -4.7674328497e+00   
-4.1015625000e-01   -4.8576455502e+00   
-4.0820312500e-01   -4.9447268068e+00   
-4.0625000000e-01   -5.0286782177e+00   
-4.0429687500e-01   -5.1095085559e+00   
-4.0234375000e-01   -5.1872332780e+00   
-4.0039062500e-01   -5.2618740485e+00   
-3.9843750000e-01   -5.3334582813e+00   
-3.9648437500e-01   -5.4020186985e+00   
-3.9453125000e-01   -5.4675929053e+00   
-3.9257812500e-01   -5.5302229815e+00   
-3.9062500000e-01   -5.5899550905e+00   
-3.8867187500e-01   -5.6468391032e+00   
-3.8671875000e-01   -5.7009282388e+00   
-3.8476562500e-01   -5.7522787216e+00   
-3.8281250000e-01   -5.8009494530e+00   
-3.8085937500e-01   -5.8470016991e+00   
-3.7890625000e-01   -5.8904987932e+00   
-3.7695312500e-01   -5.9315058532e+00   
-3.7500000000e-01   -5.9700895139e+00   
-3.7304687500e-01   -6.0063176723e+00   
-3.7109375000e-01   -6.0402592478e+00   
-3.6914062500e-01   -6.0719839553e+00   
-3.6718750000e-01   -6.1015620916e+00   
-3.6523437500e-01   -6.1290643344e+00   
-3.6328125000e-01   -6.1545615533e+00   
-3.6132812500e-01   -6.1781246335e+00   
-3.5937500000e-01   -6.1998243107e+00   
-3.5742187500e-01   -6.2197310170e+00   
-3.5546875000e-01   -6.2379147379e+00   
-3.5351562500e-01   -6.2544448796e+00   
-3.5156250000e-01   -6.2693901467e+00   
-3.4960937500e-01   -6.2828184291e+00   
-3.4765625000e-01   -6.2947966986e+00   
-3.4570312500e-01   -6.3053909138e+00   
-3.4375000000e-01   -6.3146659349e+00   
-3.4179687500e-01   -6.3226854448e+00   
