# t = +1.2045870056e+01
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   +6.9235461045e-02   
-4.9609375000e-01   +1.2198361236e-01   
-4.9414062500e-01   +1.5920525488e-01   
-4.9218750000e-01   +1.8183431241e-01   
-4.9023437500e-01   +1.9077741007e-01   
-4.8828125000e-01   +1.8691354532e-01   
-4.8632812500e-01   +1.7109384592e-01   
-4.8437500000e-01   +1.4414140985e-01   
-4.8242187500e-01   +1.0685122190e-01   
-4.8046875000e-01   +5.9990142216e-02   
-4.7851562500e-01   +4.2969618151e-03   
-4.7656250000e-01   -5.9517479261e-02   
-4.7460937500e-01   -1.3077011582e-01   
-4.7265625000e-01   -2.0880542758e-01   
-4.7070312500e-01   -2.9299515957e-01   
-4.6875000000e-01   -3.8273799682e-01   
-4.6679687500e-01   -4.7745919720e-01   
-4.6484375000e-01   -5.7661018600e-01   
-4.6289062500e-01   -6.7966811577e-01   
-4.6093750000e-01   -7.8613539475e-01   
-4.5898437500e-01   -8.9553918719e-01   
-4.5703125000e-01   -1.0074308885e+00   
-4.5507812500e-01   -1.1213855779e+00   
-4.5312500000e-01   -1.2370014525e+00   
-4.5117187500e-01   -1.3538992432e+00   
-4.4921875000e-01   -1.4717216173e+00   
-4.4726562500e-01   -1.5901325690e+00   
-4.4531250000e-01   -1.7088167994e+00   
-4.4335937500e-01   -1.8274790902e+00   
-4.4140625000e-01   -1.9458436703e+00   
-4.3945312500e-01   -2.0636535796e+00   
-4.3750000000e-01   -2.1806700304e+00   
-4.3554687500e-01   -2.2966717684e+00   
-4.3359375000e-01   -2.4114544350e+00   
-4.3164062500e-01   -2.5248299320e+00   
-4.2968750000e-01   -2.6366257899e+00   
-4.2773437500e-01   -2.7466845422e+00   
-4.2578125000e-01   -2.8548631047e+00   
-4.2382812500e-01   -2.9610321635e+00   
-4.2187500000e-01   -3.0650755697e+00   
-4.1992187500e-01   -3.1668897445e+00   
-4.1796875000e-01   -3.2663830937e+00   
-4.1601562500e-01   -3.3634754324e+00   
-4.1406250000e-01   -3.4580974220e+00   
-4.1210937500e-01   -3.5501900179e+00   
-4.1015625000e-01   -3.6397039306e+00   
-4.0820312500e-01   -3.7265990988e+00   
-4.0625000000e-01   -3.8108441759e+00   
-4.0429687500e-01   -3.8924160304e+00   
-4.0234375000e-01   -3.9712992597e+00   
-4.0039062500e-01   -4.0474857180e+00   
-3.9843750000e-01   -4.1209740585e+00   
-3.9648437500e-01   -4.1917692897e+00   
-3.9453125000e-01   -4.2598823466e+00   
-3.9257812500e-01   -4.3253296756e+00   
-3.9062500000e-01   -4.3881328347e+00   
-3.8867187500e-01   -4.4483181078e+00   
-3.8671875000e-01   -4.5059161331e+00   
-3.8476562500e-01   -4.5609615464e+00   
-3.8281250000e-01   -4.6134926383e+00   
-3.8085937500e-01   -4.6635510254e+00   
-3.7890625000e-01   -4.7111813356e+00   
-3.7695312500e-01   -4.7564309070e+00   
-3.7500000000e-01   -4.7993495003e+00   
-3.7304687500e-01   -4.8399890247e+00   
-3.7109375000e-01   -4.8784032767e+00   
-3.6914062500e-01   -4.9146476915e+00   
-3.6718750000e-01   -4.9487791074e+00   
-3.6523437500e-01   -4.9808555420e+00   
-3.6328125000e-01   -5.0109359810e+00   
-3.6132812500e-01   -5.0390801776e+00   
-3.5937500000e-01   -5.0653484646e+00   
-3.5742187500e-01   -5.0898015764e+00   
-3.5546875000e-01   -5.1125004824e+00   
-3.5351562500e-01   -5.1335062310e+00   
-3.5156250000e-01   -5.1528798026e+00   
-3.4960937500e-01   -5.1706819736e+00   
-3.4765625000e-01   -5.1869731895e+00   
-3.4570312500e-01   -5.2018134466e+00   
-3.4375000000e-01   -5.2152621830e+00   
-3.4179687500e-01   -5.2273781779e+00   
-3.3984375000e-01   -5.2382194593e+00   
-3.3789062500e-01   -5.2478432188e+00   
-3.3593750000e-01   -5.2563057348e+00   
-3.3398437500e-01   -5.2636623023e+00   
-3.3203125000e-01   -5.2699671697e+00   
-3.3007812500e-01   -5.2752734822e+00   
-3.2812500000e-01   -5.2796332315e+00   
-3.2617187500e-01   -5.2830972115e+00   
-3.2421875000e-01   -5.2857149794e+00   
-3.2226562500e-01   -5.2875348224e+00   
-3.2031250000e-01   -5.2886037299e+00   
-3.1835937500e-01   -5.2889673696e+00   
-3.1640625000e-01   -5.2886700692e+00   
-3.1445312500e-01   -5.2877548015e+00   
-3.1250000000e-01   -5.2862631745e+00   
-3.1054687500e-01   -5.2842354246e+00   
