# t = +9.3690100438e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -3.6680920406e-01   
-4.9609375000e-01   -7.2776468461e-01   
-4.9414062500e-01   -1.0824024378e+00   
-4.9218750000e-01   -1.4303039671e+00   
-4.9023437500e-01   -1.7710942558e+00   
-4.8828125000e-01   -2.1044397717e+00   
-4.8632812500e-01   -2.4300465067e+00   
-4.8437500000e-01   -2.7476580525e+00   
-4.8242187500e-01   -3.0570537163e+00   
-4.8046875000e-01   -3.3580466764e+00   
-4.7851562500e-01   -3.6504821812e+00   
-4.7656250000e-01   -3.9342357915e+00   
-4.7460937500e-01   -4.2092116684e+00   
-4.7265625000e-01   -4.4753409069e+00   
-4.7070312500e-01   -4.7325799172e+00   
-4.6875000000e-01   -4.9809088529e+00   
-4.6679687500e-01   -5.2203300887e+00   
-4.6484375000e-01   -5.4508667454e+00   
-4.6289062500e-01   -5.6725612651e+00   
-4.6093750000e-01   -5.8854740340e+00   
-4.5898437500e-01   -6.0896820559e+00   
-4.5703125000e-01   -6.2852776731e+00   
-4.5507812500e-01   -6.4723673366e+00   
-4.5312500000e-01   -6.6510704247e+00   
-4.5117187500e-01   -6.8215181095e+00   
-4.4921875000e-01   -6.9838522699e+00   
-4.4726562500e-01   -7.1382244530e+00   
-4.4531250000e-01   -7.2847948801e+00   
-4.4335937500e-01   -7.4237314988e+00   
-4.4140625000e-01   -7.5552090799e+00   
-4.3945312500e-01   -7.6794083575e+00   
-4.3750000000e-01   -7.7965152126e+00   
-4.3554687500e-01   -7.9067198981e+00   
-4.3359375000e-01   -8.0102163053e+00   
-4.3164062500e-01   -8.1072012701e+00   
-4.2968750000e-01   -8.1978739182e+00   
-4.2773437500e-01   -8.2824350486e+00   
-4.2578125000e-01   -8.3610865534e+00   
-4.2382812500e-01   -8.4340308738e+00   
-4.2187500000e-01   -8.5014704907e+00   
-4.1992187500e-01   -8.5636074487e+00   
-4.1796875000e-01   -8.6206429129e+00   
-4.1601562500e-01   -8.6727767567e+00   
-4.1406250000e-01   -8.7202071804e+00   
-4.1210937500e-01   -8.7631303580e+00   
-4.1015625000e-01   -8.8017401131e+00   
-4.0820312500e-01   -8.8362276212e+00   
-4.0625000000e-01   -8.8667811377e+00   
-4.0429687500e-01   -8.8935857508e+00   
-4.0234375000e-01   -8.9168231588e+00   
-4.0039062500e-01   -8.9366714685e+00   
-3.9843750000e-01   -8.9533050171e+00   
-3.9648437500e-01   -8.9668942134e+00   
-3.9453125000e-01   -8.9776053989e+00   
-3.9257812500e-01   -8.9856007280e+00   
-3.9062500000e-01   -8.9910380654e+00   
-3.8867187500e-01   -8.9940709005e+00   
-3.8671875000e-01   -8.9948482775e+00   
-3.8476562500e-01   -8.9935147409e+00   
-3.8281250000e-01   -8.9902102943e+00   
-3.8085937500e-01   -8.9850703733e+00   
-3.7890625000e-01   -8.9782258306e+00   
-3.7695312500e-01   -8.9698029322e+00   
-3.7500000000e-01   -8.9599233654e+00   
-3.7304687500e-01   -8.9487042563e+00   
-3.7109375000e-01   -8.9362581971e+00   
-3.6914062500e-01   -8.9226932822e+00   
-3.6718750000e-01   -8.9081131517e+00   
-3.6523437500e-01   -8.8926170436e+00   
-3.6328125000e-01   -8.8762998517e+00   
-3.6132812500e-01   -8.8592521903e+00   
-3.5937500000e-01   -8.8415604646e+00   
-3.5742187500e-01   -8.8233069460e+00   
-3.5546875000e-01   -8.8045698523e+00   
-3.5351562500e-01   -8.7854234321e+00   
-3.5156250000e-01   -8.7659380523e+00   
-3.4960937500e-01   -8.7461802895e+00   
-3.4765625000e-01   -8.7262130242e+00   
-3.4570312500e-01   -8.7060955365e+00   
-3.4375000000e-01   -8.6858836051e+00   
-3.4179687500e-01   -8.6656296068e+00   
-3.3984375000e-01   -8.6453826182e+00   
-3.3789062500e-01   -8.6251885178e+00   
-3.3593750000e-01   -8.6050900891e+00   
-3.3398437500e-01   -8.5851271240e+00   
-3.3203125000e-01   -8.5653365261e+00   
-3.3007812500e-01   -8.5457524146e+00   
-3.2812500000e-01   -8.5264062269e+00   
-3.2617187500e-01   -8.5073268213e+00   
-3.2421875000e-01   -8.4885405789e+00   
-3.2226562500e-01   -8.4700715042e+00   
-3.2031250000e-01   -8.4519413246e+00   
-3.1835937500e-01   -8.4341695895e+00   
-3.1640625000e-01   -8.4167737663e+00   
-3.1445312500e-01   -8.3997693366e+00   
-3.1250000000e-01   -8.3831698898e+00   
-3.1054687500e-01   -8.3669872146e+00   
-3.0859375000e-01   -8.3512313898e+00   
-3.0664062500e-01   -8.3359108720e+00   
-3.0468750000e-01   -8.3210325816e+00   
-3.0273437500e-01   -8.3066019872e+00   
-3.0078125000e-01   -8.2926231873e+00   
-2.9882812500e-01   -8.2790989897e+00   
-2.9687500000e-01   -8.2660309893e+00   
-2.9492187500e-01   -8.2534196429e+00   
-2.9296875000e-01   -8.2412643421e+00   
-2.9101562500e-01   -8.2295634841e+00   
-2.8906250000e-01   -8.2183145396e+00   
-2.8710937500e-01   -8.2075141185e+00   
-2.8515625000e-01   -8.1971580339e+00   
-2.8320312500e-01   -8.1872413630e+00   
-2.8125000000e-01   -8.1777585060e+00   
-2.7929687500e-01   -8.1687032430e+00   
-2.7734375000e-01   -8.1600687877e+00   
-2.7539062500e-01   -8.1518478404e+00   
-2.7343750000e-01   -8.1440326369e+00   
-2.7148437500e-01   -8.1366149968e+00   
-2.6953125000e-01   -8.1295863688e+00   
-2.6757812500e-01   -8.1229378743e+00   
-2.6562500000e-01   -8.1166603482e+00   
-2.6367187500e-01   -8.1107443786e+00   
-2.6171875000e-01   -8.1051803442e+00   
-2.5976562500e-01   -8.0999584492e+00   
-2.5781250000e-01   -8.0950687569e+00   
-2.5585937500e-01   -8.0905012214e+00   
-2.5390625000e-01   -8.0862457172e+00   
-2.5195312500e-01   -8.0822920674e+00   
-2.5000000000e-01   -8.0786300697e+00   
-2.4804687500e-01   -8.0752495213e+00   
-2.4609375000e-01   -8.0721402418e+00   
-2.4414062500e-01   -8.0692920950e+00   
-2.4218750000e-01   -8.0666950083e+00   
-2.4023437500e-01   -8.0643389919e+00   
-2.3828125000e-01   -8.0622141557e+00   
-2.3632812500e-01   -8.0603107249e+00   
-2.3437500000e-01   -8.0586190550e+00   
-2.3242187500e-01   -8.0571296446e+00   
-2.3046875000e-01   -8.0558331480e+00   
-2.2851562500e-01   -8.0547203858e+00   
-2.2656250000e-01   -8.0537823549e+00   
-2.2460937500e-01   -8.0530102373e+00   
-2.2265625000e-01   -8.0523954083e+00   
-2.2070312500e-01   -8.0519294429e+00   
-2.1875000000e-01   -8.0516041219e+00   
-2.1679687500e-01   -8.0514114376e+00   
-2.1484375000e-01   -8.0513435973e+00   
-2.1289062500e-01   -8.0513930277e+00   
-2.1093750000e-01   -8.0515523772e+00   
-2.0898437500e-01   -8.0518145183e+00   
-2.0703125000e-01   -8.0521725490e+00   
-2.0507812500e-01   -8.0526197939e+00   
-2.0312500000e-01   -8.0531498046e+00   
-2.0117187500e-01   -8.0537563592e+00   
-1.9921875000e-01   -8.0544334619e+00   
-1.9726562500e-01   -8.0551753418e+00   
-1.9531250000e-01   -8.0559764514e+00   
-1.9335937500e-01   -8.0568314644e+00   
-1.9140625000e-01   -8.0577352737e+00   
-1.8945312500e-01   -8.0586829886e+00   
-1.8750000000e-01   -8.0596699315e+00   
-1.8554687500e-01   -8.0606916354e+00   
-1.8359375000e-01   -8.0617438395e+00   
-1.8164062500e-01   -8.0628224861e+00   
-1.7968750000e-01   -8.0639237162e+00   
-1.7773437500e-01   -8.0650438658e+00   
-1.7578125000e-01   -8.0661794610e+00   
-1.7382812500e-01   -8.0673272143e+00   
-1.7187500000e-01   -8.0684840191e+00   
-1.6992187500e-01   -8.0696469457e+00   
-1.6796875000e-01   -8.0708132365e+00   
-1.6601562500e-01   -8.0719803007e+00   
-1.6406250000e-01   -8.0731457097e+00   
-1.6210937500e-01   -8.0743071920e+00   
-1.6015625000e-01   -8.0754626285e+00   
-1.5820312500e-01   -8.0766100471e+00   
-1.5625000000e-01   -8.0777476179e+00   
-1.5429687500e-01   -8.0788736482e+00   
-1.5234375000e-01   -8.0799865777e+00   
-1.5039062500e-01   -8.0810849730e+00   
-1.4843750000e-01   -8.0821675233e+00   
-1.4648437500e-01   -8.0832330352e+00   
-1.4453125000e-01   -8.0842804278e+00   
-1.4257812500e-01   -8.0853087284e+00   
-1.4062500000e-01   -8.0863170671e+00   
-1.3867187500e-01   -8.0873046730e+00   
-1.3671875000e-01   -8.0882708690e+00   
-1.3476562500e-01   -8.0892150676e+00   
-1.3281250000e-01   -8.0901367666e+00   
-1.3085937500e-01   -8.0910355447e+00   
-1.2890625000e-01   -8.0919110573e+00   
-1.2695312500e-01   -8.0927630326e+00   
-1.2500000000e-01   -8.0935912675e+00   
-1.2304687500e-01   -8.0943956234e+00   
-1.2109375000e-01   -8.0951760232e+00   
-1.1914062500e-01   -8.0959324469e+00   
-1.1718750000e-01   -8.0966649281e+00   
-1.1523437500e-01   -8.0973735511e+00   
