# t = +6.6921500313e-01
# r                 u_z
-2.3046875000e-01   +2.5440860042e+00   
-2.2851562500e-01   +2.5467098472e+00   
-2.2656250000e-01   +2.5493619897e+00   
-2.2460937500e-01   +2.5520348770e+00   
-2.2265625000e-01   +2.5547213878e+00   
-2.2070312500e-01   +2.5574148219e+00   
-2.1875000000e-01   +2.5601088885e+00   
-2.1679687500e-01   +2.5627976937e+00   
-2.1484375000e-01   +2.5654757285e+00   
-2.1289062500e-01   +2.5681378562e+00   
-2.1093750000e-01   +2.5707793001e+00   
-2.0898437500e-01   +2.5733956308e+00   
-2.0703125000e-01   +2.5759827542e+00   
-2.0507812500e-01   +2.5785368992e+00   
-2.0312500000e-01   +2.5810546048e+00   
-2.0117187500e-01   +2.5835327086e+00   
-1.9921875000e-01   +2.5859683345e+00   
-1.9726562500e-01   +2.5883588807e+00   
-1.9531250000e-01   +2.5907020081e+00   
-1.9335937500e-01   +2.5929956286e+00   
-1.9140625000e-01   +2.5952378938e+00   
-1.8945312500e-01   +2.5974271838e+00   
-1.8750000000e-01   +2.5995620961e+00   
-1.8554687500e-01   +2.6016414351e+00   
-1.8359375000e-01   +2.6036642012e+00   
-1.8164062500e-01   +2.6056295810e+00   
-1.7968750000e-01   +2.6075369368e+00   
-1.7773437500e-01   +2.6093857974e+00   
-1.7578125000e-01   +2.6111758479e+00   
-1.7382812500e-01   +2.6129069210e+00   
-1.7187500000e-01   +2.6145789881e+00   
-1.6992187500e-01   +2.6161921499e+00   
-1.6796875000e-01   +2.6177466288e+00   
-1.6601562500e-01   +2.6192427604e+00   
-1.6406250000e-01   +2.6206809856e+00   
-1.6210937500e-01   +2.6220618429e+00   
-1.6015625000e-01   +2.6233859615e+00   
-1.5820312500e-01   +2.6246540539e+00   
-1.5625000000e-01   +2.6258669093e+00   
-1.5429687500e-01   +2.6270253870e+00   
-1.5234375000e-01   +2.6281304101e+00   
-1.5039062500e-01   +2.6291829599e+00   
-1.4843750000e-01   +2.6301840696e+00   
-1.4648437500e-01   +2.6311348195e+00   
-1.4453125000e-01   +2.6320363313e+00   
-1.4257812500e-01   +2.6328897632e+00   
-1.4062500000e-01   +2.6336963056e+00   
-1.3867187500e-01   +2.6344571761e+00   
-1.3671875000e-01   +2.6351736154e+00   
-1.3476562500e-01   +2.6358468835e+00   
-1.3281250000e-01   +2.6364782557e+00   
-1.3085937500e-01   +2.6370690190e+00   
-1.2890625000e-01   +2.6376204687e+00   
-1.2695312500e-01   +2.6381339055e+00   
-1.2500000000e-01   +2.6386106321e+00   
-1.2304687500e-01   +2.6390519506e+00   
-1.2109375000e-01   +2.6394591598e+00   
-1.1914062500e-01   +2.6398335532e+00   
-1.1718750000e-01   +2.6401764160e+00   
-1.1523437500e-01   +2.6404890236e+00   
-1.1328125000e-01   +2.6407726392e+00   
-1.1132812500e-01   +2.6410285125e+00   
-1.0937500000e-01   +2.6412578778e+00   
-1.0742187500e-01   +2.6414619522e+00   
-1.0546875000e-01   +2.6416419349e+00   
-1.0351562500e-01   +2.6417990053e+00   
-1.0156250000e-01   +2.6419343224e+00   
-9.9609375000e-02   +2.6420490235e+00   
-9.7656250000e-02   +2.6421442232e+00   
-9.5703125000e-02   +2.6422210130e+00   
-9.3750000000e-02   +2.6422804604e+00   
-9.1796875000e-02   +2.6423236082e+00   
-8.9843750000e-02   +2.6423514743e+00   
-8.7890625000e-02   +2.6423650509e+00   
-8.5937500000e-02   +2.6423653044e+00   
-8.3984375000e-02   +2.6423531752e+00   
-8.2031250000e-02   +2.6423295775e+00   
-8.0078125000e-02   +2.6422953987e+00   
-7.8125000000e-02   +2.6422515001e+00   
-7.6171875000e-02   +2.6421987164e+00   
-7.4218750000e-02   +2.6421378556e+00   
-7.2265625000e-02   +2.6420696998e+00   
-7.0312500000e-02   +2.6419950043e+00   
-6.8359375000e-02   +2.6419144988e+00   
-6.6406250000e-02   +2.6418288870e+00   
-6.4453125000e-02   +2.6417388469e+00   
-6.2500000000e-02   +2.6416450311e+00   
-6.0546875000e-02   +2.6415480675e+00   
-5.8593750000e-02   +2.6414485588e+00   
