# t = +6.6921500313e+00
# r                 u_z
-5.0000000000e-01   +0.0000000000e+00   
-4.9804687500e-01   -2.9593601654e-01   
-4.9609375000e-01   -5.7176692326e-01   
-4.9414062500e-01   -8.2816675096e-01   
-4.9218750000e-01   -1.0658107783e+00   
-4.9023437500e-01   -1.2853738574e+00   
-4.8828125000e-01   -1.4875288515e+00   
-4.8632812500e-01   -1.6729451813e+00   
-4.8437500000e-01   -1.8422874758e+00   
-4.8242187500e-01   -1.9962143240e+00   
-4.8046875000e-01   -2.1353771240e+00   
-4.7851562500e-01   -2.2604190251e+00   
-4.7656250000e-01   -2.3719739597e+00   
-4.7460937500e-01   -2.4706657611e+00   
-4.7265625000e-01   -2.5571073641e+00   
-4.7070312500e-01   -2.6319000837e+00   
-4.6875000000e-01   -2.6956329691e+00   
-4.6679687500e-01   -2.7488822301e+00   
-4.6484375000e-01   -2.7922107308e+00   
-4.6289062500e-01   -2.8261675493e+00   
-4.6093750000e-01   -2.8512875982e+00   
-4.5898437500e-01   -2.8680913040e+00   
-4.5703125000e-01   -2.8770843422e+00   
-4.5507812500e-01   -2.8787574237e+00   
-4.5312500000e-01   -2.8735861315e+00   
-4.5117187500e-01   -2.8620308033e+00   
-4.4921875000e-01   -2.8445364579e+00   
-4.4726562500e-01   -2.8215327623e+00   
-4.4531250000e-01   -2.7934340376e+00   
-4.4335937500e-01   -2.7606392994e+00   
-4.4140625000e-01   -2.7235323332e+00   
-4.3945312500e-01   -2.6824817989e+00   
-4.3750000000e-01   -2.6378413649e+00   
-4.3554687500e-01   -2.5899498682e+00   
-4.3359375000e-01   -2.5391314989e+00   
-4.3164062500e-01   -2.4856960066e+00   
-4.2968750000e-01   -2.4299389270e+00   
-4.2773437500e-01   -2.3721418275e+00   
-4.2578125000e-01   -2.3125725681e+00   
-4.2382812500e-01   -2.2514855787e+00   
-4.2187500000e-01   -2.1891221479e+00   
-4.1992187500e-01   -2.1257107251e+00   
-4.1796875000e-01   -2.0614672314e+00   
-4.1601562500e-01   -1.9965953801e+00   
-4.1406250000e-01   -1.9312870044e+00   
-4.1210937500e-01   -1.8657223912e+00   
-4.1015625000e-01   -1.8000706194e+00   
-4.0820312500e-01   -1.7344899035e+00   
-4.0625000000e-01   -1.6691279380e+00   
-4.0429687500e-01   -1.6041222455e+00   
-4.0234375000e-01   -1.5396005241e+00   
-4.0039062500e-01   -1.4756809958e+00   
-3.9843750000e-01   -1.4124727537e+00   
-3.9648437500e-01   -1.3500761077e+00   
-3.9453125000e-01   -1.2885829275e+00   
-3.9257812500e-01   -1.2280769837e+00   
-3.9062500000e-01   -1.1686342839e+00   
-3.8867187500e-01   -1.1103234060e+00   
-3.8671875000e-01   -1.0532058261e+00   
-3.8476562500e-01   -9.9733624179e-01   
-3.8281250000e-01   -9.4276288958e-01   
-3.8085937500e-01   -8.8952785664e-01   
-3.7890625000e-01   -8.3766738641e-01   
-3.7695312500e-01   -7.8721217754e-01   
-3.7500000000e-01   -7.3818767612e-01   
-3.7304687500e-01   -6.9061436093e-01   
-3.7109375000e-01   -6.4450802137e-01   
-3.6914062500e-01   -5.9988002807e-01   
-3.6718750000e-01   -5.5673759601e-01   
-3.6523437500e-01   -5.1508403987e-01   
-3.6328125000e-01   -4.7491902173e-01   
-3.6132812500e-01   -4.3623879094e-01   
-3.5937500000e-01   -3.9903641615e-01   
-3.5742187500e-01   -3.6330200944e-01   
-3.5546875000e-01   -3.2902294262e-01   
-3.5351562500e-01   -2.9618405559e-01   
-3.5156250000e-01   -2.6476785701e-01   
-3.4960937500e-01   -2.3475471704e-01   
-3.4765625000e-01   -2.0612305249e-01   
-3.4570312500e-01   -1.7884950424e-01   
-3.4375000000e-01   -1.5290910725e-01   
-3.4179687500e-01   -1.2827545295e-01   
-3.3984375000e-01   -1.0492084448e-01   
-3.3789062500e-01   -8.2816444578e-02   
-3.3593750000e-01   -6.1932416530e-02   
-3.3398437500e-01   -4.2238058068e-02   
-3.3203125000e-01   -2.3701928551e-02   
-3.3007812500e-01   -6.2919694878e-03   
-3.2812500000e-01   +1.0024381416e-02   
-3.2617187500e-01   +2.5280082529e-02   
-3.2421875000e-01   +3.9508386709e-02   
-3.2226562500e-01   +5.2742745705e-02   
-3.2031250000e-01   +6.5016720361e-02   
-3.1835937500e-01   +7.6363896455e-02   
