# t = +4.6845050219e+00
# r                 u_z
-5.0000000000e-01   -0.0000000000e+00   
-4.9804687500e-01   +6.0288334253e-02   
-4.9609375000e-01   +1.3269962180e-01   
-4.9414062500e-01   +2.1626579254e-01   
-4.9218750000e-01   +3.1005642568e-01   
-4.9023437500e-01   +4.1317844950e-01   
-4.8828125000e-01   +5.2477577296e-01   
-4.8632812500e-01   +6.4402885446e-01   
-4.8437500000e-01   +7.7015421298e-01   
-4.8242187500e-01   +9.0240388658e-01   
-4.8046875000e-01   +1.0400648431e+00   
-4.7851562500e-01   +1.1824583474e+00   
-4.7656250000e-01   +1.3289392901e+00   
-4.7460937500e-01   +1.4788954814e+00   
-4.7265625000e-01   +1.6317469138e+00   
-4.7070312500e-01   +1.7869449984e+00   
-4.6875000000e-01   +1.9439717778e+00   
-4.6679687500e-01   +2.1023391187e+00   
-4.6484375000e-01   +2.2615878880e+00   
-4.6289062500e-01   +2.4212871152e+00   
-4.6093750000e-01   +2.5810331443e+00   
-4.5898437500e-01   +2.7404487773e+00   
-4.5703125000e-01   +2.8991824119e+00   
-4.5507812500e-01   +3.0569071773e+00   
-4.5312500000e-01   +3.2133200676e+00   
-4.5117187500e-01   +3.3681410776e+00   
-4.4921875000e-01   +3.5211123415e+00   
-4.4726562500e-01   +3.6719972761e+00   
-4.4531250000e-01   +3.8205797313e+00   
-4.4335937500e-01   +3.9666631488e+00   
-4.4140625000e-01   +4.1100697303e+00   
-4.3945312500e-01   +4.2506396164e+00   
-4.3750000000e-01   +4.3882300786e+00   
-4.3554687500e-01   +4.5227147238e+00   
-4.3359375000e-01   +4.6539827131e+00   
-4.3164062500e-01   +4.7819379965e+00   
-4.2968750000e-01   +4.9064985627e+00   
-4.2773437500e-01   +5.0275957061e+00   
-4.2578125000e-01   +5.1451733109e+00   
-4.2382812500e-01   +5.2591871530e+00   
-4.2187500000e-01   +5.3696042204e+00   
-4.1992187500e-01   +5.4764020520e+00   
-4.1796875000e-01   +5.5795680956e+00   
-4.1601562500e-01   +5.6790990847e+00   
-4.1406250000e-01   +5.7750004355e+00   
-4.1210937500e-01   +5.8672856625e+00   
-4.1015625000e-01   +5.9559758146e+00   
-4.0820312500e-01   +6.0410989303e+00   
-4.0625000000e-01   +6.1226895125e+00   
-4.0429687500e-01   +6.2007880233e+00   
-4.0234375000e-01   +6.2754403976e+00   
-4.0039062500e-01   +6.3466975767e+00   
-3.9843750000e-01   +6.4146150605e+00   
-3.9648437500e-01   +6.4792524787e+00   
-3.9453125000e-01   +6.5406731807e+00   
-3.9257812500e-01   +6.5989438439e+00   
-3.9062500000e-01   +6.6541341000e+00   
-3.8867187500e-01   +6.7063161791e+00   
-3.8671875000e-01   +6.7555645709e+00   
-3.8476562500e-01   +6.8019557040e+00   
-3.8281250000e-01   +6.8455676400e+00   
-3.8085937500e-01   +6.8864797859e+00   
-3.7890625000e-01   +6.9247726210e+00   
-3.7695312500e-01   +6.9605274399e+00   
-3.7500000000e-01   +6.9938261101e+00   
-3.7304687500e-01   +7.0247508449e+00   
-3.7109375000e-01   +7.0533839897e+00   
-3.6914062500e-01   +7.0798078224e+00   
-3.6718750000e-01   +7.1041043673e+00   
-3.6523437500e-01   +7.1263552216e+00   
-3.6328125000e-01   +7.1466413943e+00   
-3.6132812500e-01   +7.1650431570e+00   
-3.5937500000e-01   +7.1816399063e+00   
-3.5742187500e-01   +7.1965100379e+00   
-3.5546875000e-01   +7.2097308300e+00   
-3.5351562500e-01   +7.2213783379e+00   
-3.5156250000e-01   +7.2315272985e+00   
-3.4960937500e-01   +7.2402510435e+00   
-3.4765625000e-01   +7.2476214217e+00   
-3.4570312500e-01   +7.2537087304e+00   
-3.4375000000e-01   +7.2585816542e+00   
-3.4179687500e-01   +7.2623072121e+00   
-3.3984375000e-01   +7.2649507115e+00   
-3.3789062500e-01   +7.2665757093e+00   
-3.3593750000e-01   +7.2672439801e+00   
-3.3398437500e-01   +7.2670154896e+00   
-3.3203125000e-01   +7.2659483751e+00   
-3.3007812500e-01   +7.2640989305e+00   
-3.2812500000e-01   +7.2615215974e+00   
-3.2617187500e-01   +7.2582689601e+00   
-3.2421875000e-01   +7.2543917463e+00   
-3.2226562500e-01   +7.2499388311e+00   
-3.2031250000e-01   +7.2449572457e+00   
-3.1835937500e-01   +7.2394921893e+00   
-3.1640625000e-01   +7.2335870448e+00   
-3.1445312500e-01   +7.2272833975e+00   
-3.1250000000e-01   +7.2206210566e+00   
-3.1054687500e-01   +7.2136380796e+00   
-3.0859375000e-01   +7.2063707991e+00   
-3.0664062500e-01   +7.1988538517e+00   
-3.0468750000e-01   +7.1911202089e+00   
-3.0273437500e-01   +7.1832012102e+00   
-3.0078125000e-01   +7.1751265972e+00   
-2.9882812500e-01   +7.1669245494e+00   
-2.9687500000e-01   +7.1586217216e+00   
-2.9492187500e-01   +7.1502432815e+00   
-2.9296875000e-01   +7.1418129494e+00   
-2.9101562500e-01   +7.1333530376e+00   
-2.8906250000e-01   +7.1248844910e+00   
-2.8710937500e-01   +7.1164269280e+00   
-2.8515625000e-01   +7.1079986820e+00   
