# t = +4.3498975204e+00
# r                 u_z
-5.0000000000e-01   -0.0000000000e+00   
-4.9804687500e-01   +1.2362149656e-01   
-4.9609375000e-01   +2.5670694558e-01   
-4.9414062500e-01   +3.9832050131e-01   
-4.9218750000e-01   +5.4756802412e-01   
-4.9023437500e-01   +7.0359642613e-01   
-4.8828125000e-01   +8.6559296335e-01   
-4.8632812500e-01   +1.0327844797e+00   
-4.8437500000e-01   +1.2044366075e+00   
-4.8242187500e-01   +1.3798529302e+00   
-4.8046875000e-01   +1.5583741103e+00   
-4.7851562500e-01   +1.7393769882e+00   
-4.7656250000e-01   +1.9222736556e+00   
-4.7460937500e-01   +2.1065105072e+00   
-4.7265625000e-01   +2.2915672742e+00   
-4.7070312500e-01   +2.4769560436e+00   
-4.6875000000e-01   +2.6622202665e+00   
-4.6679687500e-01   +2.8469337578e+00   
-4.6484375000e-01   +3.0306996914e+00   
-4.6289062500e-01   +3.2131495918e+00   
-4.6093750000e-01   +3.3939423275e+00   
-4.5898437500e-01   +3.5727631047e+00   
-4.5703125000e-01   +3.7493224677e+00   
-4.5507812500e-01   +3.9233553045e+00   
-4.5312500000e-01   +4.0946198618e+00   
-4.5117187500e-01   +4.2628967700e+00   
-4.4921875000e-01   +4.4279880802e+00   
-4.4726562500e-01   +4.5897163148e+00   
-4.4531250000e-01   +4.7479235328e+00   
-4.4335937500e-01   +4.9024704109e+00   
-4.4140625000e-01   +5.0532353418e+00   
-4.3945312500e-01   +5.2001135509e+00   
-4.3750000000e-01   +5.3430162315e+00   
-4.3554687500e-01   +5.4818696998e+00   
-4.3359375000e-01   +5.6166145707e+00   
-4.3164062500e-01   +5.7472049544e+00   
-4.2968750000e-01   +5.8736076739e+00   
-4.2773437500e-01   +5.9958015056e+00   
-4.2578125000e-01   +6.1137764411e+00   
-4.2382812500e-01   +6.2275329719e+00   
-4.2187500000e-01   +6.3370813969e+00   
-4.1992187500e-01   +6.4424411524e+00   
-4.1796875000e-01   +6.5436401654e+00   
-4.1601562500e-01   +6.6407142292e+00   
-4.1406250000e-01   +6.7337064023e+00   
-4.1210937500e-01   +6.8226664299e+00   
-4.1015625000e-01   +6.9076501878e+00   
-4.0820312500e-01   +6.9887191489e+00   
-4.0625000000e-01   +7.0659398715e+00   
